*** 1 - 15 (/course/66669/1-5000-arabic-frequency-audio/1/)	
الـ	The
مَفْهُوم	understood
مفهوم (noun)	"concept, notion; meaning, sense, definition"
*** 1287 -  1300 (/course/66669/1-5000-arabic-frequency-audio/86/)	
دستور	constitution
سَيْطَرَة	"control, dominion"
قادَ	"to lead, guide sb to; to drive (a vehicle), pilot (an aircraft)"
إِذن	"permission, authorization"
بِإذْنِ الله	With God's permission; God willing
أَرْبِعاء	Wednesday
أَسِير	"prisoner, captive (not سجين)"
تجاه	towards; facing
حسّ	"to feel, sense  sth or that; (not شعر, أحس)"
سَعِيد	"happy, content"
حِكايَة	"story, tale, account, narrative (not قصة not رواية)"
تسجيل	registration; recording; documentation
تَيّار	"current, stream (also fig.)"
جاز	"to be allowed, be possible for sb; (as modal verb) might, may, could"
بجوز	"(Lev.) maybe, perhaps"
قَبُول	"reception; acceptance, approval"
*** 1301 -  1316 (/course/66669/1-5000-arabic-frequency-audio/87/)	
كافٍ	"sufficient, adequate; competent"
إيمان	"faith, belief (in, that)"
حفل	"ceremony, celebration"
مَلْعَب	"playground; stadium, sports field"
بَعْدَما	conj. after
ذاكِرَة	memory (human and computer)
غاز	natural gas
شرعيّ	"legitimate, lawful; legislative"
أَحْلَى	sweeter/sweetest
ثَمَّ	adv. there (is/are)
مِن ثَمَّ	"adv. therefore, because of that, that is why; (not لذا"
مَرْكَزِيّ	adj. central
هُدُوء	"calmness, quiet, peace"
تَحَقَّقَ	"to become reality (dreams); to be achieved (peace, goals) ; to verify sth"
حَيَوان	"animal, creature"
خلص	"to conclude that; to arrive at (a place, a result); (Dia.) to be finished, be over; to be all gone"
مناقشة	"argument, debate (not نقاش)"
*** 1317 - 1331 (/course/66669/1-5000-arabic-frequency-audio/88/)	
توزيع	"distribution, handing out (among)"
بالغ	"extreme, intense, profound; serious, critical; a.p. reaching, attaining; n. adult"
ربع	"quarter, fourth"
تأمين	"n. securing, safeguarding, protecting; insuring, insurance (not ضمان)"
خيار	"option, choice; selection, preference"
معالجة	"treatment (disease, sick person); dealing with (topic, problem, issue); processing (data)"
نسخة	"copy, replica"
تَعْلِيق	"commenting; suspending; comment, remark, commentary"
تَصْمِيم	"vn. determination, perseverance"
تصميم	"n. design, sketch, plan"
إِله	"god, deity; God"
يَمِين	right side; right hand
يمين / أيمان	oath
سكن	"to live, reside, dwell at/in"
ساكِن	"residing, living at/in"
شِعار	"slogan, motto; emblem, symbol"
قصد	"intent, purpose, goal (not هدف، غرض، نية)"
اِنْبَغَى	to be necessary to do sth; to be incumbent upon sb to do sth (mostly imperf.)
*** 1332 - 1347 (/course/66669/1-5000-arabic-frequency-audio/89/)	
اِتَّفَقَ	"(v. VIII) to agree (with sb, on/about sth)"
سابع	seventh (ordinal)
واصل	to continue doing sth (III)
اِعترف	"to admit, confess (having done) sth; to acknowledge, recognize, accept sth"
أَثَّرَ	"to affect, influence sth/sb"
قَصَدَ	"to intend, mean sth; to pursue sth"
أَكَلَ	"to eat sth; to corrode sth; (fig.) to consume, gnaw at sth/sb;"
جَرِيدَة	"newspaper, periodical, journal (not صحيفة)"
آه	ah! ouch!
متوقّع	"expected, anticipated"
اِلْتِزام	"vn. following, adhering to (rules, laws, plans); commitment, obligation"
طوال	"throughout, during (the entire) (not أثناء، خلال)"
مُمَيَّز	"distinguished, outstanding, prominent; special (not متميز، بارز)"
بِيـ	"(Dia.) prep. with, by"
مَنْصِب	"n. post, position, office"
اثنين	Monday
*** 1348 - 1362 (/course/66669/1-5000-arabic-frequency-audio/90/)	
مَعْقُول	"reasonable, plausible, logical"
مَطار	"airport, airfield"
ثَمَّة	there (is/are)
مُشْتَرِك	n. participant; subscriber; adj. participating; subscribing
فُنْدُق	hotel
لاحَظَ	"to notice, observe sth or that"
أَقْرَب	"nearer/nearest, sooner/soonest"
أَقارِب	"relatives, extended family"
اِتِّخاذ	"vn. taking; adopting, passing (a resolution)"
فِكْرِيّ	"adj. intellectual, mental"
فَقِير	"adj. poor; destitute; n. poor (person), pauper"
بُعْد	dimension; distance
أَصْدَرَ	"to publish (book), release (film); to issue (decree, ruling, decision); to pass (sentence); to emit (sound)"
نَظَّمَ	"to organize, arrange; regulate"
ضِفَّة	"bank, shore"
اِعْتِماد	"reliance, dependence on; recognition (of)"
*** 1363 - 1378 (/course/66669/1-5000-arabic-frequency-audio/91/)	
حَجَر	stone
شـ	"(prefix, Irq.) what"
قَلَق	"unrest, unease; concern, anxiety"
مَسِيرَة	"march, parade; movement, course"
اِزْدادَ	"(v. VIII) to grow, increase, rise (not ارتفع)"
هامّ	"important, significant (not مهم)"
عاد	"(Lev.Gul.) so, then, therefore; (Irq.) adv. already, now; conj. but, even though"
حَرارَة	"temperature, heat; fever; passion"
خَلِيجِيّ	of or relating to the Persian Gulf
سَيْر	"course, motion, march; going, walking"
ظَهْر	n. back; rear; deck (ship)
عَن ظَهْرِ قَلْبٍ	by heart
هَدَفَ	"to target, aim at sth; to be intended, be designated for sth (as a goal)"
مُتَعَدِّد	"adj. diverse, numerous, multi-, poly-"
إيجاد	"n. discovery, finding"
فَصْل	"vn. detaching, separating; firing, laying off; rendering a judgment, reaching a decision"
ألو	(Dia) hello
*** 1379 - 1393 (/course/66669/1-5000-arabic-frequency-audio/92/)	
عَفْو	"pardon, amnesty"
عَفْواً	excuse me; you’re welcome (as answer to 'thanks')
بارِد	"cold, frigid; (food) dull, flat, bland"
تَحَرَّكَ	"to move, get moving"
واجِب	"necessary, obligatory (for); duty, obligation, requirement (not ضروري, مفروض, لازم)"
اِقْتَرَبَ	"to get close to sth, approach sth"
شِدَّة	"intensity, forcefulness"
بِشِدَّة	"strongly, forcefully"
مُفِيد	"useful, beneficial"
اِبْنَة	daughter
رَسَمَ	"to draw, sketch (picture); to outline, describe sth; to design, plan sth; to chart (a course)"
فَهْم	"understanding, comprehension"
مَعْنِيّ	"concerned, affected; interested in, concerned with"
شنو	(Gul.Irq.Magh.) what
جَواب	"answer, response; (Egy.) letter"
صادِق	"truthful, veracious"
مارَسَ	"to practice, pursue (profession, hobby); to practice, play (sport); to exercise, carry out (policy); to exert (pressure)"
*** 1394 - 1406 (/course/66669/1-5000-arabic-frequency-audio/93/)	
وَلِيّ	"patron, protector"
وَلِيّ العَهْد	"heir, crown prince"
وَلِي الأَمر	"legal guardian, parent"
مَيِّت	"dead, deceased"
وادٍ	"dry riverbed, valley"
أَجْرَى	"to conduct, carry out, perform sth"
غالِب	"winner, victor; majority, most of"
غالِباً	"mostly, largely"
إِلِكْترُوني	electronic
البَريد الاِلكْتروني	the email
تَعْلِيمي	"educational, instructional, pedagogical"
مُقارَنَة	comparison
قَوْم	"people, nation, tribe (not شعب, أهل, أمة)"
ضَخْم	"large, voluminous"
ظُلْم	injustice
ظُلْماً	"wrongly, unjustly"
مَغْرِبي	Moroccan; Maghrebi
اِحْتِمال	"probability, likelihood"
اِحْتِمالات	possibilities (not إمكانيّات)
*** 1407 - 1422 (/course/66669/1-5000-arabic-frequency-audio/94/)	
نافِذَة	window
عَيْش	"life, living; (Egy.) bread; (Gul.) rice"
إِمْكانِيَّة	possibility; capability
أَهْلِيّ	"civil, domestic; family, home; private (school) (not مدني)"
آمَنَ	to believe in sth
حَضارَة	civilization; culture
بَرْلَمان	parliament
تَقْنِيَّة	"technology, technique"
جهد	"effort, exertion, strain"
وعي	"consciousness; awareness, attention"
حارِس	"guard, sentry; guardian, keeper; (sports) goalie, goal-keeper"
صحافة	"journalism, press"
طالما	as long as; how often
طالَما أَنَّ	provided (that)
خفيف	"light; slight, minor; sparse"
منع	"to prevent, forbid sth; to prevent sb from doing sth; to deprive sb of sth"
جملة	"sentence, clause; group, bunch, handful"
بالجملة	"on the whole, altogether"
جُمْلَةً وتَفْصيلاً	"completely, through and through"
*** 1423 - 1437 (/course/66669/1-5000-arabic-frequency-audio/95/)	
عقب	heel
عَقِبَ	prep. immediately after
مُبَكِّر	early
ظُهْر	"noon, afternoon"
ظُهْراً	"in the afternoon, at noon"
وافَقَ	"to agree with sb on sth; to approve, authorize sth (III)"
مُتَعَلِّق	"adj. attached, connected (to sth/sb); concerning (sth/sb)"
زميل	"colleague, associate, companion"
كيفية	"manner, mode; way; how"
نموذج	"sample; model, example"
حادِث	"event, occurrence; incident, accident"
فازَ	to win (sth); to defeat sb;
ثوب	"garment, robe, tunic"
ثياب	"clothes, clothing (not ملابس، لباس)"
بَدِيل	"n. alternative; replacement, substitute; adj. alternate, substitute; equivalent"
محيط	"adj. peripheral, surrounding; n. periphery, surrounding area; milieu, environment; ocean"
آية	"verse (in the Qur'an); sign, wonder, miracle"
تَهْدِيد	"vn threatening, menacing; n. threat, menace; danger, risk"
*** 1438 - 1452 (/course/66669/1-5000-arabic-frequency-audio/96/)	
هدية	"gift, present (not هبة)"
قاعِد	"sitting; (Dia.) staying, remaining; (with imperf.) in the process of doing sth"
موسيقى	music
بَعَثَ	"to send, mail sth (or ب sth)  to sb"
ندوة	"seminar, symposium, colloquium (not منتدى)"
جِهاد	"struggle, jihad,"
الجِهاد في سَبِيل الله	struggle in the way of God
قاعة	"hall, large room (not صالة)"
فرق	"difference, distinction; discrepancy"
حِفاظ	"vn. guarding, preserving; memorization; n. diaper;"
جبهة	"(military, political, weather) front; front line;"
الجَبْهَة الشَّعْبِيَّة	Popular Front
توقيع	signing; signature
ممتاز	"excellent, superior, first-class; privileged, favored"
هَمّ	"worry, concern; anxiety, distress; care, interest"
مُكافَحَة	"fight, battle, confrontation   (not معركة)"
فَشِلَ	"to fail, be unsuccessful in sth"
*** 1453 - 1467 (/course/66669/1-5000-arabic-frequency-audio/97/)	
حظ	"luck, fortune"
ضيف	"guest, visitor (not زائِر)"
ثانَوِيّ	"secondary; lower-ranking, subordinate"
جسر	bridge; (reinforcement) beam or bar; (dental) bridge
متميز	"distinguished, outstanding, prominent; different (from) (not مميز)"
بلدة	"town, township, community"
استحق	"to deserve, merit sth"
تنفيذي	"executive, implementing"
وزن	"weight ; weighing, measuring the weight of;"
إنجليزي	English; (Dia.) English (language)
طيران	"aviation, flying; airline (not طائرة)"
عُقُوبَة	"punishment, penalty, sanction"
هون	(Lev.) here;
ثابت	"adj. firm, established, constant; stable, steady"
مؤشر	"indicator, index; measure, gage;"
مؤَشّرات	"clues, indications, pointers"
*** 1468 - 1482 (/course/66669/1-5000-arabic-frequency-audio/98/)	
مطر	rain
مفروض	"adj. necessary, required; imposed, prescribed; n. obligation, duty"
فضّل	to prefer sth (to sth else)
جمع	"bringing together, gathering, assembling; joining together"
مقعد	seat; place
مقتل	"murder, killing (not قتل)"
ساهم	"to participate in, contribute to (not شارك)"
اِتَّخَذَ	"to take sth; to adopt, pass (a resolution)"
راحة	"rest, relaxation, repose, leisure"
راحة اليد	palm of the hand
أَحَسَّ	"to feel, sense sth or that (not حسّ ، شعر)"
فضاء	"space; (outer) space, cosmos; vacant (plot of land)"
مستقل	"independent, autonomous"
تُرْكِيّ	Turk; Turkish
أفق	horizon
آفاق	"view, perspectives; outlook, prospects"
جثة	"corpse, body"
*** 1483 - 1497 (/course/66669/1-5000-arabic-frequency-audio/99/)	
شبه	"semi-, almost, like"
شرف	"honor (not احترام), distinction"
هوية	identity; identity card
بطاقة	card; tag; ticket; ballot
ركن	"pillar, foundation, support; (mil.) chief of staff; corner, nook; section (newspaper)"
مصاب	"injured, wounded; afflicted   (not جريح)"
صاروخ	"missile, rocket"
تحول	"(n. V) change, transformation, conversion"
روسي	Russian
جوي	"air, aerial; atmospheric; climatic, weather-related"
سَيِّء	bad
أَمان	"n. safety, security (not سلامة), protection (not أمن )"
أَكْل	"vn. eating; consuming; n. food, meal"
مرشح	"nominated, selected; expected, prepared, slated; (most) likely; candidate, nominee"
وصف	"description, portrayal, characterization; characteristic, trait"
بِوَصْفِهِ	"in his capacity as (chairman, minister, etc.)"
*** 1498 - 1513 (/course/66669/1-5000-arabic-frequency-audio/100/)	
مُلاحَظَة	"observing, noticing; note, remark, observation"
لقب	title; nickname
مَسافَة	"distance, interval"
فقر	"poverty, lack of"
انتشار	"spreading (not نشر), diffusion"
خائف	"afraid, fearful, frightened"
ثُلاثاء	Tuesday
ما	"How ...! (exclamatory, with following elat)"
تواصل	"continuation, maintaining; interconnection, mutual contact; intercommunication"
ظُهُور	"appearance, emergence; advent (not حلول)"
زراعة	"agriculture, cultivation; implanting, transplanting (organ)"
غَرَض	"goal, purpose, intent (not قصد, هدف، نية)"
أَغْراض	"(Lev.Irq.Gul.) things, items, personal effects"
إِمْكان	"capability, ability, power; possibility, (what is) possible (not إمكانية) (not قدرة)"
أَثْبَتَ	"to prove, ascertain, establish sth"
اِنْتَقَلَ	"to move, transfer; (v. VII)"
دَلَّ	"to point at sth; to indicate, serve as proof that"
*** 1514 - 1528 (/course/66669/1-5000-arabic-frequency-audio/101/)	
وكيل	"representative, agent (not  ممثل)"
آلِيَّة	"mechanism, machine; vehicle, vessel"
حرص	"desire, keenness, eagerness (not أمل, شاء - شوق)"
حِرْصاً على	"out of concern for, for the sake of"
حِينَما	"when, while"
لَحْم	"meat, flesh"
مُتَخَصِّص	specialized; specialist
تَلَقَّى	"to receive, get (V)"
جَلالَة	majesty;
بنية	"structure; make-up, physique"
بِنْيَة تَحْتِيَّة	infrastructure
تَحْسِين	"vn. improving, enhancing, bettering; n. improvement, enhancement"
مَبْنىً	"building, edifice; structure"
فَم	mouth
خَمْسُون	fifty; fiftieth
أَهَمَّ	(v. IV) to concern (not خص) sb; to be important to sb
اِمْتِحان	"examination, test; trial"
*** 1529 - 1542 (/course/66669/1-5000-arabic-frequency-audio/102/)	
طبّ	"n. medicine, medical treatment"
مقدمة	"preface, introduction; front part"
فَرْع	"branch, department, subdivision, section"
مصير	"path, destiny, fate (not قدر)"
سليم	"correct, sound; flawless; safe"
ترتيب	"preparation, arrangement, putting in order; organization, planning"
مبروك	"adj. blessed, happy; interj. congratulations!"
أَلْف مَبْرُوك	many congratulations!
مطلق	"absolute, unlimited"
مطلقا	absolutely (not قطعا)
نَفَّذَ	"to implement, carry out, execute (not طبق)"
حسب	"n. sufficiency, enough;"
فحسب	adv. only
قَبِيلَة	tribe
أوكي	(Dia.) OK
تَوَفَّرَ	"to be plentiful; to be available for sb; to be met, fulfilled (conditions, requirements) in sth/sb"
تَمَتَّعَ	"to enjoy sth, be blessed with sth; to possess, be endowed with (qualities)"
*** 1543 - 1557 (/course/66669/1-5000-arabic-frequency-audio/103/)	
قطع	"vn. (I) breaking off, interruption;"
قطعا	adv. absolutely; vn. traversing (a distance); issuing (a ticket)
وَفاة	death (not موت)
الوفايات	obituaries (newspaper section)
سُقُوط	"fall, downfall, collapse; crash (aircraft)"
رائِحَة	"scent, odor, perfume (not عطر)"
فعّالِيَّة	"effectiveness, efficiency;"
فَعّالِيّات	"events, activities"
داخِليَّة	"(ministry) interior, of state"
عَدالَة	"justice, fairness  (with ـة)"
جار	neighbor
وَثِيقَة	"document; certificate; title, deed; paper, record"
عَلامَة	"mark, indication, sign; point"
تَنْسِيق	"coordination, collaboration"
فَرَضَ	to impose sth on sb; to assume that
بَقاء	"survival; vn. remaining, staying"
اِحْتِفال	"celebrating; celebration, ceremony"
أبرز	more/most prominent
*** 1558 - 1571 (/course/66669/1-5000-arabic-frequency-audio/104/)	
قَيْد	"restriction, condition, stipulation; fetter, chain, shackle; (leg.) register, record"
قَيْدَ	"undergoing, in the process of;"
لا قَيْدَ أُنْمُلَةٍ	"not one iota, not an inch;"
حِكْمَة	"wisdom; wise saying, proverb, moral"
فِتَنَة	"charm, allure, enchantment; dissent, unrest; riot, rebellion"
مَسِيحِيّ	Christian
تليفون	telephone (not هاتف)
زارَ	to visit sb or a place
هائِل	"great, huge, formidable; frightful, appalling"
مؤخر	"rear, end, back (not خلف not ظهر); balance (of a payment);"
مؤخرا	"recently, lately; finally, in the end"
سياحة	tourism
وقوف	"standing, stopping, halting"
ثقيل	"heavy, cumbersome"
رسم	"n. drawing, sketching, illustrating; picture, drawing; tax, fee"
جامعي	adj. university
أَشْبَهَ	"(v. IV) to resemble, look like, be similar to sth/sb (not تمثل)"
*** 1572 - 1586 (/course/66669/1-5000-arabic-frequency-audio/105/)	
تطلب	"to require, demand sth (from sb) (V)"
توجيه	"directing, guiding, sending; instruction, guideline, directive"
حطّ	"to put, place, set down (not وضع)"
حَبّ	"grain, seed(s); grain, seed; pill; bead"
شوق	"desire, yearning (not أمل, شاء - حرص)"
دقيق	"precise, accurate; minute, micro-; delicate"
متقدم	"advanced, developed; n. applicant (person submitting an application); a.p. applying, seeking (job position or admission)"
زراعي	"agricultural, farming"
شيطان	"devil, Satan"
قتيل	"casualty, dead/killed person"
استفادة	"n. benefiting from, making use of"
استقبال	"reception; receiving, welcoming (not قبول)"
ورد	"roses, flowers (not زهور)"
ثامن	eighth
مدّ	"to extend, stretch sth; to spread out, stretch out sth"
*** 1587 - 1601 (/course/66669/1-5000-arabic-frequency-audio/106/)	
ظلام	darkness; injustice (not ظلمة)
موافقة	"agreement ; approval (not توافق , not وفاق , not اتفاق , not عقد , not إتفاقية)"
سياق	"context, course"
درب	"path, pathway, trail, road"
دُعاء	"n. call, appeal, request; invocation"
أَرْسَلَ	"to send, transmit sth to sb"
هَوىً	"love, affection; inclination, preference; desire, wish     (not حب)"
على هواه	"as he likes, according to his preference"
ذَهاب	"vn. going; leaving, departure; first half (game, match)"
كثرة	"abundance, large amount, great number"
هادئ	"adj. calm, quiet, peaceful"
حفظ	"vn. saving, preserving, maintaining; protecting, guarding; memorizing"
شاشَة	screen; computer monitor
شريك	"n. partner, associate (not مشارك)"
محدود	limited; determined
أَدْخَلَ	"to insert, introduce, include sth in"
*** 1602 - 1616 (/course/66669/1-5000-arabic-frequency-audio/107/)	
تَبادُل	"exchange, interchange"
سِيادَة	"sovereignty, supremacy"
سيادته	His Excellency
رَمْز	"symbol, sign, emblem; symbolic figure; (computer) icon; (telephone, postal) code; indicator; vn. symbolizing, indicating, pointing (to); dialing (phone number) (p"
ضَرْبَة	"blow, strike; shot"
مَلامِح	"features, characteristics"
غابَ	to be absent (from); to set (sun) on
مُفاوَضَة	"negotiation, discussion, talk"
تَدْمِير	"destruction, demolition; wrecking, ruining, damaging"
تَحْلِيل	"dissolution, dissolving; legalizing (making sth Halal)"
تَحالِيل	"analysis, (laboratory) test"
دَوْم	"continuance, continuation (not استمرار، مواصلة)"
دَوْماً	always (not دائما)
وَلَدَ	"to bear, give birth to (child);"
وُلِدَ	to be born
شَرِيط	"tape, strip, ribbon"
مُسْتَحِيل	impossible
مُحافِظ	"n. governor; adj. conservative; a.p. preserving, protecting"
بَيَّنَ	"to clarify, explain sth; to show, demonstrate sth; (Lev.Irq.Gul.) to appear, be visible; to seem, look, appear to be"
*** 1617 - 1631 (/course/66669/1-5000-arabic-frequency-audio/108/)	
مُراقَبَة	"surveillance, monitoring; censorship; observation, inspection; supervision, oversight"
تَفَضَّلَ	"please (come in, sit down, help yourself, go ahead, you first, etc.);(usu. imperat. with foll. imperat.)"
لو تَفَضَّلت	if you would be so kind
كُتْلَة	"bloc, group; mass, bulk"
باعَ	to sell sth (for a price)
ماشِي	"p.a. going, walking; (Dia.) interj. OK, all right (I agree, accept); adj. good, fine;"
أنا ماشِي الحال	I’m doing fine
إِحْساس	"vn. IV feeling (not مشعر, شعور), sensation; sensitivity"
اِنْفِجار	"explosion, detonation"
حَدِيقَة	garden
اِهْتَمَّ	"to be interested in sth; to care, be concerned about sth"
اِعْتِراف	"admission, confession (of sth); acknowledgment, recognition, acceptance (of sth)"
مَنْطِق	"n. logic, mentality"
مُتَّهَم	"adj. accused of, charged with, indicted for; n. accused, suspect"
دار	"(Magh.) to do, make sth; to prepare (food); (Egy.Lev.Irq.Gul.) to turn (one’s face, head, back);"
أَصْلِيّ	"adj. original, master; real, true; genuine, authentic"
مِثْلَما	"like, as, just as"
*** 1632 - 1646 (/course/66669/1-5000-arabic-frequency-audio/109/)	
صَفْقَة	"deal, transaction"
مَنْهَج	"method, approach; program, curriculum"
تَعَرَّفَ	"to get to know sb, become acquainted with sb; to identify sb"
جِنْسِيَّة	"nationality, citizenship"
اِتِّهام	"accusation, charge, indictment"
صِدْق	"sincerity, candor (NOT صراحة)"
عاشِق	"lover, person in love; admirer, fan; enthusiast, aficionado (not محب)"
مقدّس	"adj. holy, sacred"
مُقَدَّسات	sacred sites; sacred things
هِنْدِيّ	Indian
تُهْمَة	"accusation, charge (not اتهام)"
إِبْداع	"creativity, originality"
حادّ	"sharp, intense"
اِمْتَدَّ	"to extend, reach, spread to"
مِحْوَر	"axle; axis, pivot"
طائِفِيّ	"sectarian, factional"
*** 1647 - 1661 (/course/66669/1-5000-arabic-frequency-audio/110/)	
إِصْدار	"vn. IV exporting; issuing, publication"
غَيَّرَ	"to change, modify sth; to replace, switch sth"
مُنْتَصَف	"middle, halfway"
أَرْبَعُون	forty; fortieth
حَلَّ	"to dissolve, split up, untie sth"
حَلَّ مَحَلَّهُ	"to replace, take the place of sb/sth; to solve (problem)"
أَجَل	"time, period, term; final moment, death"
شاهِد	"n. witness; spectator; adj. witnessing, viewing"
جَماعِيّ	"adj. group, collective; common"
تاسِع	ninth
زاوِيَة	"corner, nook; section (newspaper); angle"
تَصَرُّف	"behavior, conduct; actions (not سلوك)"
مُساعِد	"n. assistant, aide, supporter; adj. helping, assisting, supporting"
اِغْتِيال	assassination
اِعْتِداء	"assault, attack (not هجوم not مهاجمة), aggression (not هجمة)"
مَيْدان	"arena, field, domain; city square, plaza (not ساحة)"
*** 1662 - 1676 (/course/66669/1-5000-arabic-frequency-audio/111/)	
تاجِر	"n. merchant, businessman, trader; adj. trading, dealing"
جَزائِريّ	Algerian
هَجْمَة	"attack, assault; raid, strike    (not هجوم, مهاجمة)"
أَداة	"tool, utensil, instrument; appliance, apparatus; (ling.) particle"
تَدَخُّل	"intervention, interference"
أَمْر	"order, command"
سَبَّبَ	"to cause, produce, provoke sth"
واسِطَة	"(Dia.)  intermediary, (person with) influence, pull, connections"
بِواسِطَةِ	"by means of, by using, by making use of;"
عَيْب	"fault, weakness; shame, disgrace, shameful behavior"
صَرَّحَ	"to declare, announce that (not أعلن)"
سافَرَ	to travel to; to depart (on a trip)
بَرِيء	"adj. innocent, blameless; naive, unsuspecting; exempt, free (of); n. innocent person"
اِنْطِلاق	"start, departure"
اِنْطِلاقاً مِن	proceeding from; on the basis of
تامّ	"adj. complete, concluded"
جُنَيْه	pound (currency);
*** 1677 - 1689 (/course/66669/1-5000-arabic-frequency-audio/112/)	
مِعْيار	"standard, criterion, norm; standard measure, gauge (not مقياس)"
تَمْوِيل	"vn. financing, funding, backing, underwriting"
خَشِيَ	"to fear sth/sb or sth/sb; to fear, anticipate that; to be afraid, anxious for (sb’s safety) (NOT خاف)"
تَقْلِيدِيّ	"traditional, conventional"
أَمانَة	"loyalty, reliability; honesty, integrity; deposit, safekeeping; secretariat; office of mayor;"
اِخْتِلاف	"variance, difference, disagreement; conflict, controversy (vn. VIII)"
سُكَّر	sugar
تَرْكِيز	"emphasis, focus, concentration on sth"
أَقْوَى	"stronger/strongest, more/most powerful"
تَناوُل	"vn. dealing with (subject, issue); eating (meal); taking, ingesting (medicine)"
تَحْوِيل	"conversion, transfer"
حَرَم	holy site; (university) campus
الحَرَمان الشَّرِيفان	the Two Holy Sites (Mecca and Medina);
ثالِث الحَرَمَيْن	Jerusalem (not القدس)
يَمَنِيّ	Yemeni
*** 1690 - 1704 (/course/66669/1-5000-arabic-frequency-audio/113/)	
اِنْتِخابِي	"adj. electoral, election; selection"
إِسْتراتِيجِيّ	adj. strategic; n. strategist
ذَهَبِيّ	"golden, gilded"
صَحْراء	desert
حَكَمَ	"to rule, govern (people, country); to judge, sentence sb"
وِشّ	(Gul.Sau.) what
إِسْتراتِيجِيَّة	n. strategy
مُقَرَّر	"adj. decided upon, stipulated; scheduled; n. agenda, plan; curriculum"
اِنْسِحاب	"withdrawal, evacuation; pulling out, removing"
تَبِعَ	"to follow, pursue sth/sb"
تَزَوَّجَ	(v. V) to marry sb; to get married (to sb)
لَفَتَ	"to draw, turn sb’s attention to"
ذاتِيّ	"autonomous, self-, auto-; personal, individual"
هلق	(Lev.) now
مُسَلْسَل	serial show (esp. soap opera)
*** 1705 - 1719 (/course/66669/1-5000-arabic-frequency-audio/114/)	
وَلِيَ	"to follow, come after (sth/sb); to govern, rule sth or على over sth"
غادَرَ	"to leave (a place), depart (on a trip)"
كارِثَة	"catastrophe, tragedy"
اِسْتَهْدَفَ	"to target, aim at sth/sb (not هدف)"
مَلْبَس	"clothes, dress, attire (not ثياب)"
قاتِل	"n. murderer, assassin; adj. deadly, lethal; fatal"
سِياحِيّ	"adj. tourist, tourism"
نِيَّة	"intention, purpose; desire (not طُمُوح)"
شِيعَة	"Shiites; partisans, followers"
نَقْص	"lack, loss; decrease, diminution; deficit; deficiency; inferiority"
تَدَخَّلَ	"to intervene, interfere, meddle"
إِجابَة	"answer, reply, response   (not جواب or رد)"
خَلَقَ	"to create, form sth"
دِراسِيّ	"adj. study-, school-related; instructional, pedagogical"
سِلْسِلَة	"chain, series"
*** 1720 - 1733 (/course/66669/1-5000-arabic-frequency-audio/115/)	
حَدِيد	iron; steel
جِوار	"proximity, vicinity"
شِتاء	winter
حُسْن	"good, goodness; beauty"
ضَرَر	"vn. damage; injury, harm; n. evil, sin"
سُنَّة	orthodox Islam; body of Islamic law; customary procedure
اِسْتَقْبَلَ	"to meet, welcome, greet sb; to receive sth"
سُلُوك	"behavior, conduct (not تصرف)"
سَهْل / سهلا	interj. hello! welcome!
حَسَن / حَسَناً	"good; adv. well; interj. good, fine, OK (not zein / jayyid / tayyib)"
سِينَما	cinema
مُرْتَبِط	"connected, linked to; in a relationship with"
حَفْلَة	"party, ceremony, celebration"
جَزِيرَة	island
شِبْه جَزِيرةٍ	peninsula
*** 1734 - 1748 (/course/66669/1-5000-arabic-frequency-audio/116/)	
اِسْتَفادَ	"to benefit, profit from, to make use of"
صِلَة	"n. link, connection; contact   (not علاقة)"
تَراجُع	"retreat, backing down/off from sth; decrease, decline"
اِكْتَشَفَ	"to discover sth; to detect, uncover sth"
تَردَّدَ	"to hesitate  في to do sth; to pause, wait (an instant); to frequent على (a place); to be repeated, occur repeatedly; to be widely discussed"
لِيبِيّ	Libyan
نَقْد	"criticism, critique"
مَجْهُول	"adj. unknown, unidentified; n.  unknown person, unidentified person"
صَنَعَ	"to design, build; fabricate"
ثَرْوَة	"wealth, fortune; abundance"
حِصار	"siege, blockade"
زَيْت	"oil (food, mineral)"
سَحَبَ	"to withdraw (support); to take out, pull sth (from)"
مِن قِبَلِ	on the part of; by
إِرْسال	"sending; deploying (troops); n. transmission, broadcast; signal (cell phone)"
*** 1749 - 1763 (/course/66669/1-5000-arabic-frequency-audio/117/)	
كُرْسِي	"chair, seat (not مقعد)"
طَبَقَة	"class, category, rank; level, layer"
صَحافِي	"journalistic, press; n. journalist, reporter"
أَكْمَلَ	"to complete, finish sth (not تم or انتهى etc)"
تَجاوُز	"surmounting, overcoming; exceeding, going beyond, overstepping; disregarding, bypassing;"
تَجاوُزات	"abuses, violations"
أَزْرَق	blue
تَبَيَّنَ	"to become clear or evident that; to appear, become visible (not اتضح or تجلى)"
تَخْطيط	"planning, preparation; plan, sketch, diagram"
إِرادَة	"n. will, wish, desire"
نِقاش	"argument, debate  (not مناقشة)"
مُتَحَدِّثْ	"spokesperson, speaker   (not ناطق)"
هِجْرَة	"migration; emigration, exodus, flight;"
دَوام	"office or business hours, work schedule; duration, time period; constancy, permanence"
خَسِرَ	"to fail, lose, suffer a loss; to lose (a game, one’s life, time)"
صِينِيّ	Chinese
*** 1764 - 1778 (/course/66669/1-5000-arabic-frequency-audio/118/)	
