*** 1 - 10 (/course/195614/spanish-nouns-5/1/)	
"el braquiópodo, el branquiópodo"	branchiopod
*** 871 - 880 (/course/195614/spanish-nouns-5/88/)	
la parida	"new mom, woman who has recently given birth, stupid remark"
la problemita	niggle
la adelfa	oleander
el olécranon	olecranon
la oriflama	Oriflame
los ortópteros	Orthoptera
la mimbrera	osier bed
los repintes	overpainting
(el)(la) pasionista	Passionist
la pegmatita	pegmatite
*** 881 - 890 (/course/195614/spanish-nouns-5/89/)	
el chupatintas	penpusher
los trepados	perched
los persecutores	persecutors
la persuasiva	persuasiveness
la pestífera	pestiferous
los cartoneros	pickers
la reineta	pippin
la bocamina	pithead
el chapetón	rain shower
el asentador	razor strop
*** 891 - 900 (/course/195614/spanish-nouns-5/90/)	
(el)(la) juerguista	"reveller, hellbender, merry-maker, bacchanal"
el fusilero	"rifleman, fusilier"
la fragosidad	roughness
la escabrosidad	"roughness, ribaldry, riskiness"
el sabino	Sabine
los becados	scholarships
el raspón	scrape
el sietecolores	seven colors
la ripia	shingle
(los)(las) situacionistas	situationists
*** 901 - 910 (/course/195614/spanish-nouns-5/91/)	
la broqueta	skewer
el espectrograma	spectrogram
la sentadilla	squat
(el)(la) sufragista	"suffragette, suffragist"
los surferos	surfers
la silepsis	syllepsis
(el)(la) simbolista	symbolist
la sinéresis	syneresis
la incitadora	tease
el texano	Texan
*** 911 - 920 (/course/195614/spanish-nouns-5/92/)	
la delga	thin
la labrada	tilled
los tonganos	Tongans
los tripanosomas	trypanosomes
el tunicado	tunicate
la vestal	"vestal virgin, vestal"
la aguadora	Water Carrier
la soldadora	welder
el disputador	wrangler
la aparcera	sharecropper
*** 921 - 930 (/course/195614/spanish-nouns-5/93/)	
la barcia	chaff
la boyarda	boyar
la capitalina	inhabitant of the capital
la condiscípula	classmate
la endocrinóloga	endocrinologist
el hematíe	"red blood cell, erythrocyte"
la espartana	Spartan
(el)(la) fratricida	fratricide
la fumadora	smoker
la hotelera	hotelier
*** 931 - 940 (/course/195614/spanish-nouns-5/94/)	
la inmunóloga	immunologist
la granjera	farmer
la maldecida	damned
el mandarino	Mandarin person
la molinera	miller
la moscareta	flycatcher
la bordadura	embroidery
la visigoda	Visigoth
el cacahuate	"peanut, groundnut"
el estomatólogo	dentist
*** 941 - 950 (/course/195614/spanish-nouns-5/95/)	
el neanderthal	Neanderthal
el cananeo	Canaanite
el fabricador	fabricator
la huerfanita	orphan
el incapacitado	disabled person
la acuciosidad	diligence
la afeitada	shaved
la agarrada	"fight, argument, row"
el alcanforero	camphor
el alfiletero	needle case
*** 951 - 960 (/course/195614/spanish-nouns-5/96/)	
la alucinada	hallucinated
el amillaramiento	millage
el amonestador	Warning
el antepuerto	outer port
la antisepsia	antisepsis
la anuria	anury
el apilador	stacker
el arrufo	sheer
la ataguía	cofferdam
la atipicidad	atypical
*** 961 - 970 (/course/195614/spanish-nouns-5/97/)	
la atopia	atopy
el autocine	drive-in cinema
(el)(la) bajante	descendant
el ballico	ryegrass
la bandejita	salver
el barato	street market
la bastardilla	"italics, italic type, italic font"
el beagle	beagle
la biogenética	genetic engineering
el bolómetro	bolometer
*** 971 - 980 (/course/195614/spanish-nouns-5/98/)	
el borboteo	bubble
el bronceador	"tanning lotion, fake tan, tan in a bottle"
la cadeneta	chain stitch
la calumniadora	slanderous
la cañaheja	fennel stalk
la cantaleta	"repetitive song, silly song, whining"
la carcelera	"jailor, jailer, warder"
el carcinoide	carcinoid
el cartonaje	carton
el cejador	Cejador
*** 981 - 990 (/course/195614/spanish-nouns-5/99/)	
la cerillera	Match Girl
el chandal	track-suit
el chirimoyo	cherimoya
la chucha	fuck
el circunflejo	circumflex
(el)(la) coagulante	coagulant
(el)(la) confesante	confessing
la correhuela	Morning Glory
el correteo	scamper
la desfibrilación	defibrillation
*** 991 - 1000 (/course/195614/spanish-nouns-5/100/)	
el desplomo	collapsed
el docetismo	Docetism
la dominadora	dominating
el dormán	dolman
el dragomán	dragoman
la dulcificación	sweetening
el embargue	impound
el empotramiento	Recess
el envalentonamiento	"arrogancy, Dutch courage, arrogance"
la escualidez	squalor
*** 1001 - 1010 (/course/195614/spanish-nouns-5/101/)	
el etnomusicólogo	ethnomusicologist
la extravertida	extraverted
la fenacetina	phenacetin
el ferrocianuro	ferrocyanide
(el)(la) figurinista	costume
el filosofismo	philosophism
la fisga	fish spear
la flebotomía	phlebotomy
el futbolito	foosball
el gabro	gabbro
*** 1011 - 1020 (/course/195614/spanish-nouns-5/102/)	
el gentilismo	gentilism
(el)(la) geriatra	geriatrician
el glasé	icing
el gordolobo	mullein
el greco	Greco
(el)(la) griñón	wimple
la guardarropía	wardrobe
el haraquiri	harakiri
el heladero	ice-cream man
el hidroala	hydrofoil
*** 1021 - 1030 (/course/195614/spanish-nouns-5/103/)	
el hidrocele	hydrocele
la impetra	implores
la inadaptabilidad	inadaptability
la incivilidad	incivility
el incógnito	incognito
la infecundidad	"infertility, barrenness"
la ininteligibilidad	unintelligibility
la interlínea	interline
la irrevocabilidad	irrevocability
el isocianato	isocyanate
*** 1031 - 1040 (/course/195614/spanish-nouns-5/104/)	
el jipijapa	panama
el lagópodo	grouse
la lanosidad	"woolliness, wooliness"
el legrado	"curettage, scraping, D and C"
la lienza	stringline
la limnología	limnology
la lobectomía	lobectomy
la malaca	malacca
el malato	malate
el máser	maser
*** 1041 - 1050 (/course/195614/spanish-nouns-5/105/)	
el meditador	meditator
el mesolítico	Mesolithic
el miometrio	myometrium
el moldeamiento	shaping
la negrilla	bold
el omento	omentum
el ontologismo	ontologism
(el)(la) optometrista	optometrist
el ostiario	ostiary
el panislamismo	Pan-Islamism
*** 1051 - 1060 (/course/195614/spanish-nouns-5/106/)	
la paradita	Paradita
el pastorcito	shepherd
el pebete	"potpourri, fuse, fuze"
el pejesapo	angler
(el)(la) piragüista	canoeist
el pirotécnico	pyrotechnist
la pituita	pituita
la predestinada	predestined
la premoriencia	predecease
(el)(la) prensista	pressman
*** 1061 - 1070 (/course/195614/spanish-nouns-5/107/)	
el prevaricato	malfeasance
la proletaria	proletarian
la proscrita	Outlaw
la psicofisiología	psychophysiology
la quisquillosa	fussy
la rancidez	"rancidity, rancidness"
la rebalsa	overflows
el reenganche	reclosing
la refección	refection
la resbalosa	slippery
*** 1071 - 1080 (/course/195614/spanish-nouns-5/108/)	
el sabelianismo	Sabellianism
el segundero	seconds
el serpentario	serpentarium
el simún	"simoom, simoon, samiel"
el sincrociclotrón	synchrocyclotron
la sobrecama	"coverlet, counterpane"
la sopita	soup
el sublevamiento	uprising
la substracción	subtraction
la talasoterapia	Thalassotherapy
*** 1081 - 1090 (/course/195614/spanish-nouns-5/109/)	
el talmud	Talmud
el taquímetro	tachymeter
la teledifusión	telecast
la tetina	"teat, nipple"
la tiendita	commissary
el tocoferol	tocopherol
el traqueo	jolting
la traspiración	transpiration
la turbonada	squall
la ventriloquia	ventriloquism
*** 1091 - 1100 (/course/195614/spanish-nouns-5/110/)	
la vocinglería	boisterousness
el huno	Hun
el ibero	Iberian
la quijotada	quixotic act
la galardonada	award winner
el macarra	"lout, thug, vulgar"
el malsín	"slanderer, informer, taleteller"
la reguera	"irrigation channel, mooring rope, cable"
las adiposas	adipose
el volado	"affair, lie"
*** 1101 - 1110 (/course/195614/spanish-nouns-5/111/)	
(los)(las) alauíes	Alawites
la aliseda	alder grove
el antihistamínico	antihistamine
el aristotélico	Aristotelian
los balineses	Balinese
el manteamiento	blanketing
la blusita	blouse
el bostoniano	Bostonian
la chapucería	"botchery, botch"
el embotellador	bottler
*** 1111 - 1120 (/course/195614/spanish-nouns-5/112/)	
la ladrillera	bricked
las burbujitas	bubbles
el bufet	buffet
el entredós	"cabinet, insertion"
el episcopal	"Cæremoniale Episcoporum, Ceremonial of Bishops"
(el)(la) caníbal	cannibal
el trebejo	chessman
el cincelador	Chipper
los ciliados	ciliates
la cinemateca	Cinematheque
*** 1121 - 1130 (/course/195614/spanish-nouns-5/113/)	
los aporreados	clubbed
el posavasos	coaster
(el)(la) conservacionista	conservation
el contradictor	"contradictor, contradictory"
la coordinada	coordinated
el tentadero	corral
(el)(la) cosmopolita	cosmopolitan
la vaquera	cowgirl
el coracero	cuirassier
el chuleta	"cutlet, chop, divot"
*** 1131 - 1140 (/course/195614/spanish-nouns-5/114/)	
los dárdanos	Dardanians
la tachadura	"deletion, obliteration, erasure"
el maquinador	"deviser, plotter"
el doctrinario	"doctrinaire, doctrinarian"
el dinasta	dynast
el flexible	"electric cord, flex, cable"
el esmaltado	"enamel, varnishing, enamelling"
(el)(la) enciclopedista	"encyclopedist, encyclopaedist"
(los)(las) anglohablantes	English speakers
la barrabasada	evil thing
*** 1141 - 1150 (/course/195614/spanish-nouns-5/115/)	
(el)(la) evolucionista	evolutionist
el desconchado	"flaw, chip"
el flechero	Fletcher
la cantadora	"folksinger, chorine"
la fontanela	fontanelle
el baboso	"fool, idiot, slug"
el cerquillo	"fringe, bangs"
los rapacejos	fringes
la fungicida	fungicide
(los)(las) azotacalles	"gadabout, idler, loafer"
*** 1151 - 1160 (/course/195614/spanish-nouns-5/116/)	
el gasterópodo	gastropod
el gay	"gay, homosexual"
el habanero	"habanero chili, habanero pepper"
el postizo	hairpiece
el portahelicópteros	helicopter carrier
la hematites	"hematite, haematite"
el cañamón	hempseed
los hipidos	hiccups
los cacharreros	homebuilders
el identificativo	Id
*** 1161 - 1170 (/course/195614/spanish-nouns-5/117/)	
(el)(la) idealista	idealist
el inmortal	immortal
los javaneses	Javanese
el dicterio	"jibe, taunt, jeer"
el encintado	kerb
el lagrimal	lacrimal
la laminadora	laminator
los cristalinos	"lens, crystalline lens"
el lepidóptero	lepidopteran
(el)(la) guardavía	"lineman, linesman, signalman"
*** 1171 - 1180 (/course/195614/spanish-nouns-5/118/)	
los loquios	lochia
el suelto	loose change
los tórtolos	lovebirds
el maltés	Maltese
las malváceas	Malvaceae
la pesebrera	manger
el masturbador	masturbator
(el)(la) medievalista	medievalist
la metrorragia	metrorrhagia
las malandanzas	misfortunes
*** 1181 - 1190 (/course/195614/spanish-nouns-5/119/)	
los miomas	myomas
el tapacubos	nave plate
el necton	nekton
los neocatólicos	neo-Catholics
los ollares	nostrils
la postilla	"note, marginal note, footnote"
(los)(las) observantes	observant
la veladora	"oil lamp, candle"
el cortapapeles	paper knife
la chirivía	parsnip
*** 1191 - 1200 (/course/195614/spanish-nouns-5/120/)	
el pavero	Pavero
el balín	pellet
los lápices	pencil
el portaplumas	penholder
la peonía	peony
la falena	phalaena
la filarmónica	Philharmonic
el bruñido	polishing
los trajineros	porters'
el pretoriano	"praetorian, pretorian"
*** 1201 - 1210 (/course/195614/spanish-nouns-5/121/)	
la probatura	Pronatura
(el)(la) proteccionista	protectionist
el psicofármaco	psychotropic
el arrancador	puller
la purpúrea	purple
la gradilla	rack
el reconocedor	recognizer
la reveladora	revealing
la rinoplastia	rhinoplasty
el rodio	rhodium
*** 1211 - 1220 (/course/195614/spanish-nouns-5/122/)	
el retozo	"romp, friskiness"
la segundo	second
los servomecanismos	servomechanisms
el ofidio	snake
el solecismo	solecism
la abiogénesis	spontaneous generation
los espolines	spurs
los estampadores	stampers
la chaira	steel
el subforo	subforum
*** 1221 - 1230 (/course/195614/spanish-nouns-5/123/)	
los cazasubmarinos	submarine chasers
el submúltiplo	submultiple
el superconductor	superconductor
los supernumerarios	supernumerary
la sinovitis	synovitis
la milésima	thousandth
las tetitas	titties
el tongo	Tongo
el tremor	tremor
el triglicérido	triglyceride
*** 1231 - 1240 (/course/195614/spanish-nouns-5/124/)	
los fideicomisarios	"trustee, trust"
(el)(la) omeya	Umayyad
las desempleadas	unemployed
(el)(la) utopista	Utopian
el bañadero	vat
la venusina	Venusian
el vinatero	"vintner, wine merchant"
la virago	virago
(el)(la) virgo	"Virgo, hymen"
los sabihondos	wiseacres
*** 1241 - 1250 (/course/195614/spanish-nouns-5/125/)	
la oficiala	woman officer
el gañido	"yelp, whine, whimper"
la boxeadora	boxer
la carnicera	butcher
la demagoga	demagogue
la desertora	"defector, deserter, runaway"
la folclórica	folk
la pandillera	"gangster, mobster"
la gaucha	South American cowboy
la neozelandesa	New Zealander
*** 1251 - 1260 (/course/195614/spanish-nouns-5/126/)	
la lusa	Portuguese
la putería	whoring
la recitadora	reciter
el calcañar	heel
la tinerfeña	Tenerife
la zamba	half-breed
la zaragozana	Zaragoza
el coleccionador	collector
el bogotano	Bogota
el capitalino	inhabitant of the capital
*** 1261 - 1270 (/course/195614/spanish-nouns-5/127/)	
el manoteo	gesticulation
la bandolina	"mandolin, mandoline"
la nemotecnia	mnemonics
el tamborín	tambourine
la aconitina	aconitine
el agarrotamiento	"tightening, stiffening, seizing up"
la aguachirle	"slops, weak drink, trifle"
la aguaita	Aguaita
la alboroza	elated
el alergólogo	allergist
*** 1271 - 1280 (/course/195614/spanish-nouns-5/128/)	
la amigdalectomía	tonsillectomy
el amole	whet
el anabaptismo	Anabaptism
la androsterona	androsterone
el anexionismo	annexationism
el animalismo	animalism
la anteposición	preposing
el aporreo	dressing-down
la arañada	scratched
el archipámpano	panjandrum
*** 1281 - 1290 (/course/195614/spanish-nouns-5/129/)	
el arraigamiento	rooting
la asiria	Assyria
la atestiguación	"attestation, testimony"
la ática	Attica
el atomizador	"atomizer, spray, atomiser"
el atrezo	props
el australopiteco	Australopithecus
la autocontención	self-containment
el autoencendido	self-ignition
la beatlemanía	Beatlemania
*** 1291 - 1300 (/course/195614/spanish-nouns-5/130/)	
el behaviorismo	"behaviourism, behaviorism"
la billarda	Billarda
el bimetalismo	bimetallism
la brema	bream
el cabrilleo	whitecaps
el cabujón	cabochon
la cachiporra	"blackjack, truncheon, bludgeon"
la calcopirita	chalcopyrite
el canalizo	fairway
el carborundo	carborundum
*** 1301 - 1310 (/course/195614/spanish-nouns-5/131/)	
el cegador	"flatterer, boot-licker, brown-nose"
la celidonia	celandine
la centaurea	knapweed
la certitud	certitude
el chalaneo	horse-trade
el chanciller	chancellor
el chinito	Chinese man
la chorra	stream
el clausulado	clauses
el cleptómano	kleptomaniac
*** 1311 - 1320 (/course/195614/spanish-nouns-5/132/)	
la colodra	Colodra
la combadura	"bend, camber"
la conmensurabilidad	commensurability
el córnico	Cornish
la cosmetología	cosmetology
el cronometrador	timekeeper
el densímetro	densimeter
el desapoderamiento	divestment
la desbocada	runaway
el desmenuzamiento	comminution
*** 1321 - 1330 (/course/195614/spanish-nouns-5/133/)	
el discóbolo	discobolus
la ecolocación	echolocation
la endolinfa	endolymph
el engendrador	begetter
la enloquecedora	maddening
el escaqueo	shirking
la esclerodermia	scleroderma
el escobazo	"quick sweep, blow with a broom"
el esfigmomanómetro	sphygmomanometer
el espeque	handspike
*** 1331 - 1340 (/course/195614/spanish-nouns-5/134/)	
el estenógrafo	stenographer
el exprimidor	"squeezer, wringer, juicer"
el exteriores	"exterior, outside"
la fasciculación	fasciculation
la fenicia	phenicia
el flexor	flexor
el francmasón	"freemason, mason"
el gasómetro	gasometer
la generatriz	generatrix
el gladio	gladiolus
*** 1341 - 1350 (/course/195614/spanish-nouns-5/135/)	
la grandecita	biggie
la hidrocortisona	hydrocortisone
el hindustaní	Hindustani
la hornblenda	hornblende
la iberoamericana	Iberoamerican
la ilegibilidad	illegibility
el impétigo	impetigo
el inclinómetro	inclinometer
la incolumidad	safety and protection
el instituidor	institutor
*** 1351 - 1360 (/course/195614/spanish-nouns-5/136/)	
la juglaría	minstrelsy
el lapo	"bash, wipe"
el lari	lari
la laterita	laterite
la lechosa	milky
el lexicólogo	lexicologist
el logogrifo	logogriph
el ludismo	Luddism
la maculada	Immaculate
el magníficat	Magnificat
*** 1371 - 1380 (/course/195614/spanish-nouns-5/137/)	
el muletero	muleteer
(el)(la) naturópata	naturopath
la naturopatía	naturopathy
el navarca	navarch
el nescafé	Nescafe
el nidito	nest
el nitrobenceno	nitrobenzene
el obscurecimiento	obscuration
el ofuscamiento	"daze, dimness, bewilderment"
el pachulí	patchouli
*** 1361 - 1370 (/course/195614/spanish-nouns-5/138/)	
el maque	lacquer
el medicucho	quack
el membrillero	quince
el meningococo	meningococcal
el menorquín	Menorca
el menospreciador	contemptuous
la mielinización	myelination
el militantismo	militancy
el monipodio	Monipodio
el muaré	moire
*** 1381 - 1390 (/course/195614/spanish-nouns-5/139/)	
el pañito	corn dodger
el paramagnetismo	paramagnetism
la pátera	patera
el perdonador	pardoner
el perecimiento	perishability
el pergeño	concocted
el peristaltismo	peristalsis
el picrato	picrate
la pídola	leapfrog
la pinaza	pinnace
*** 1391 - 1400 (/course/195614/spanish-nouns-5/140/)	
la piocianina	pyocyanin
la piridoxina	pyridoxine
la plastificación	plasticization
el plasto	plastid
el playero	beach
el plomazo	bummer
el pomar	orchard
el praliné	praline
la prefación	preface
la preservadora	sparing
*** 1401 - 1410 (/course/195614/spanish-nouns-5/141/)	
la prorrogación	"prorogation, renewal"
el prosador	proser
la ptialina	ptyalin
el puñalito	little dagger
el puñito	little fist
el quiromántico	palmist
la rasqueta	scraper
el rebozuelo	chanterelle
el recipiendario	recipient
el reclusorio	prison
*** 1411 - 1420 (/course/195614/spanish-nouns-5/142/)	
el renio	rhenium
la renovadora	renewing
la retardación	"retardation, slowing down, delaying"
el rocino	Rocino
la ruedecilla	"small wheel, roller castor"
el sandio	Sanzio
el seise	choirboy
el semicilindro	hemicylinder
el senequismo	Senecanism
el serbo	Serb
*** 1431 - 1440 (/course/195614/spanish-nouns-5/143/)	
la tronada	thunderstorm
la troza	log
la variz	varicose vein
el velacho	foretopsail
la vicegobernadora	Lt. Governor
el vivandero	sutler
el yoyó	yo-yo
(el)(la) zulú	Zulu
el camellero	camel-driver
la gatera	cat flap
*** 1421 - 1430 (/course/195614/spanish-nouns-5/144/)	
el sudsudeste	SSE
el techador	roofer
la teratología	teratology
la tercerilla	Tercerilla
la touche	touch
el toxicólogo	toxicologist
la tramposa	"cheat, trickster"
el trasmallo	trammel
el trismo	lockjaw
el trompeteo	fanfare
*** 1441 - 1450 (/course/195614/spanish-nouns-5/145/)	
la plántula	seedling
(el)(la) absolutista	absolutist
la afroamericana	African American
el agárico	agaric
los anfípodos	amphipods
las anacardiáceas	Anacardiaceae
el anglicano	Anglican
el araucano	Araucan
(el)(la) archivista	archivist
las arqueadas	arcuate
*** 1451 - 1460 (/course/195614/spanish-nouns-5/146/)	
el ateo	atheist
el machetero	axer
el bacteriófago	bacteriophage
el batracio	batrachian
el aletazo	"beat of the fin, wingbeat"
la berma	"berm, shoulder, roadside"
el sombrerazo	big hat
la palanquilla	billet
la galletera	biscuit
(el)(la) bonapartista	Bonapartist
*** 1471 - 1480 (/course/195614/spanish-nouns-5/147/)	
las crismeras	chrismatories
los acianos	"cockatrice, bachelor's button"
el congregante	congregant
el copépodo	copepod
el coriza	coryza
la ladilla	crab louse
la manualidad	craft
las crasuláceas	crassulacean
(el)(la) criminalista	criminalist
(el)(la) vil	cur
*** 1461 - 1470 (/course/195614/spanish-nouns-5/148/)	
los rebotadores	bouncers
las bromeliáceas	bromeliads
la chocarrería	buffoonery
la marrullería	"cajolery, cajolement"
la cántiga	Cantiga
la carretada	cartload
(el)(la) célibe	celibate
el certificador	certifier
el fletador	charterer
el chocolatero	chocolatier
*** 1481 - 1490 (/course/195614/spanish-nouns-5/149/)	
el curie	curie
la monería	cuteness
los lacticinios	dairy products
el colgador	dangler
la desalentadora	daunting
los cazatorpederos	destroyers
el digesto	digest
la diócesi	Diocese
el turbador	disturber
(los)(las) donatistas	Donatists
*** 1491 - 1500 (/course/195614/spanish-nouns-5/150/)	
el palero	drainer
el epicedio	epicede
el ergio	erg
los euriptéridos	eurypterids
el falconete	falconet
los falleros	Fallas
el quinceañero	fifteen
las flageladas	flagellate
(el)(la) frutal	fruit tree
los financiadores	funders
*** 1501 - 1510 (/course/195614/spanish-nouns-5/151/)	
el acotado	game preserve
el gonococo	gonococcal
las gorgonias	gorgonians
el saludador	greeter
la hacanea	hackney
la cefalalgia	headache
la helmintiasis	helminthiasis
la secuestradora	"hijacker, kidnapper, abductor"
la melosa	honeyed
el carpe	hornbeam
*** 1511 - 1520 (/course/195614/spanish-nouns-5/152/)	
los equisetos	horsetails
las liliáceas	Hostas
el himnario	"hymnal, hymnbook"
el hipocondrio	hypochondrium
la entretela	"interlining, wadding, backing"
los tornasolados	iridescent
(los)(las) islamitas	Islamists
el gorrón	"journal, pivot, sponger"
la botonera	keypad
los kilovoltios	kilovolts
*** 1521 - 1530 (/course/195614/spanish-nouns-5/153/)	
la laceración	laceration
la ponchada	"large amount, bowlful of punch"
las lesionadas	lesioned
las lupercales	Lupercalia
la lustración	lustration
el maniqueo	"Manichaean, extremist"
(los)(las) maristas	Marist
la meningoencefalitis	meningoencephalitis
el metalúrgico	"metalworker, metallurgist"
la microficha	microfiche
*** 1531 - 1540 (/course/195614/spanish-nouns-5/154/)	
(el)(la) moabita	Moabite
el mocasín	"moccasin, loafer"
la importunación	molestation
la montada	mounted
los mozambiqueños	Mozambican
el asaltador	mugger
la basca	"nausea, feeling of sickness, queasy feeling"
(el)(la) nazarí	Nazari
la nereida	nereid
las oblatas	Oblate
*** 1571 - 1580 (/course/195614/spanish-nouns-5/155/)	
el pesquisidor	"searching, inquiry"
(el)(la) semivocal	semivowel
la tija	shank
el jarrete	shin
los pantaloncillos	shorts
el plateado	silver-plating
el picatoste	sippet
(el)(la) quitanieves	"snowplow, snowplough"
el solicitador	solicitor
el sud	south
*** 1541 - 1550 (/course/195614/spanish-nouns-5/156/)	
los odontocetos	odontocetes
la empaquetadora	"packing, gasket"
el álabe	paddle
(el)(la) buscapersonas	pager
el palé	pallet
las alverjas	peas
la fanerógama	phanerogam
(los)(las) filipenses	Philippians
el fotolito	photolith
(el)(la) fisonomista	physiognomist
*** 1551 - 1560 (/course/195614/spanish-nouns-5/157/)	
la torrija	piece of French toast
la porqueriza	"pigsty, piggery"
la tocada	played
(los)(las) puntillistas	pointillist
los pontoneros	pontoneers
el garlito	pound
(el)(la) progresista	"progressive, progressist"
los promovedores	promoters
el prosélito	proselyte
(el)(la) protestante	Protestant
*** 1561 - 1570 (/course/195614/spanish-nouns-5/158/)	
la publicadora	publisher
la pugnacidad	pugnacity
la ferroviaria	railway
el escariador	reamer
los remadores	rowers
el gomero	rubber tree
los salmónidos	salmonids
el sanctasanctórum	"sanctum, sanctum sanctorum"
el fular	scarf
los escifozoos	scyphozoans
*** 1581 - 1590 (/course/195614/spanish-nouns-5/159/)	
las nalgadas	spanking
el voceras	spokeswomen
los aliñados	sprinkled
el remilgo	"squeamishness, primness, complaint"
los dares	standards
(el)(la) huelguista	"striker, picket"
(el)(la) estructuralista	structuralist
el subcontrato	subcontract
el súcubo	succubus
(el)(la) suplicante	suppliant
*** 1601 - 1610 (/course/195614/spanish-nouns-5/160/)	
(los)(las) lazaristas	Vincentians
(los)(las) belicistas	warmongers
las cereras	wax-makers
los jerónimos	we jerónimos
el zurriagazo	Zurriagazo
la afgana	Afghan
el moledor	grinder
el boxer	boxer
la cartógrafa	"cartographer, mapmaker"
el escualo	dogfish
*** 1591 - 1600 (/course/195614/spanish-nouns-5/161/)	
el liguero	"suspender belt, garter belt"
las tangaras	tanagers
la gacha	"thin paste, slops"
los remontados	traced
la transaminasa	transaminase
la agachada	"trick, trickery, duck"
el alborotador	"troublemaker, brawler"
la cercha	truss
la ramilla	twig
los urocordados	urochordates
*** 1611 - 1620 (/course/195614/spanish-nouns-5/162/)	
la chapucera	bungler
la doctoranda	PhD
la fabricadora	fabricator
la geógrafa	geographer
el bisoñé	toupee
la rosarina	Rosario
la tecnóloga	technologist
la tibetana	Tibetan
la vasalla	vassal
la aleya	verse
*** 1631 - 1640 (/course/195614/spanish-nouns-5/163/)	
la actinolita	actinolite
el agarrador	gripper
la aguileña	"columbine, aquilegia"
el ahuecamiento	cupping
la albacora	albacore
el alcoholímetro	"breathalyser, alcoholometer"
el alfilerillo	Brad
la algoritmia	algorithmics
el amigacho	PAL
el amperaje	amperage
*** 1621 - 1630 (/course/195614/spanish-nouns-5/164/)	
(el)(la) imponente	depositor
el búlgaro	Bulgarian
el checoslovaco	Czechoslovak
el comprometedor	compromising
el desdentado	toothless
el isabelino	Elizabethan
el jactancioso	"boaster, braggart"
el otomano	Ottoman
la centroeuropea	Central European
la nipona	Japanese
*** 1671 - 1680 (/course/195614/spanish-nouns-5/165/)	
la cobalamina	cobalamin
la cobradora	"conductress, clippie"
el colinabo	"kohlrabi, swede"
el collie	collie
la colocasia	taro
la colostomía	colostomy
el compensador	compensator
la conjugada	conjugated
(el)(la) consistorial	town hall
la constructividad	constructiveness
*** 1641 - 1650 (/course/195614/spanish-nouns-5/166/)	
el anapesto	"anapaest, anapest"
la anglofobia	Anglophobia
la apendicectomía	appendectomy
la aquilea	Achilles
la aramea	Aramaic
la arduidad	arduousness
el arrastramiento	"crawl, shuffling"
el arseniato	arsenate
(el)(la) asonante	"assonant, vowel rhyme"
la astrolatría	astrolatry
*** 1681 - 1690 (/course/195614/spanish-nouns-5/167/)	
el corralillo	"corral, pen, playpen"
la corruptibilidad	corruptibility
el corselete	corselet
el cortadillo	"lump, small glass"
la cosecante	cosecant
la criolita	cryolite
la crisopeya	Crisopeya
el cronólogo	chronologer
la cursilada	corny
la declividad	declivity
*** 1651 - 1660 (/course/195614/spanish-nouns-5/168/)	
la atestación	attestation
el aumentativo	augmentative
el automedonte	Automedon
el azolve	"sediment, deposit"
el biftec	steak
el braguero	"truss, brace"
el braguetazo	marriage for money
el buldog	bulldog
el cardiograma	cardiogram
la cataplexia	cataplexy
*** 1661 - 1670 (/course/195614/spanish-nouns-5/169/)	
la cefalosporina	cephalosporin
el cencerreo	"jangle, tinkling, tinkle"
la censuradora	censorious
el cepellón	rootball
el cheviot	"tweed, cheviot"
el chillón	"small nail, panel pin, moaner"
el ciclopropano	cyclopropane
el cidro	"citron, citrus"
(el)(la) citarista	sitar
el clueco	broody
*** 1691 - 1700 (/course/195614/spanish-nouns-5/170/)	
el decúbito	decubitus
el desbridamiento	debridement
la desconsoladora	distressing
la descontinuación	discontinuation
el descote	Descote
el desenredo	disentanglement
la desinsectación	disinfestation
el desmotado	ginned
el despeño	plunged
el despiezo	exploded
*** 1711 - 1720 (/course/195614/spanish-nouns-5/171/)	
el enfurruñamiento	sulk
la enmascarada	masked
el enturbiamiento	cloud
la escoda	bushhammer
el espónsor	sponsor
el estatuderato	stadtholdership
la estereotomía	sternotomy
el estrobo	strobe
el estucador	plasterer
el europio	europium
*** 1701 - 1710 (/course/195614/spanish-nouns-5/172/)	
el despique	debeak
el desposeimiento	dispossession
el destapador	opener
el destripamiento	disembowelment
la diaconisa	deaconess
la discontinuación	"discontinuation, discontinuance"
la disformidad	warp
el disprosio	dysprosium
el dosímetro	dosimeter
el enardecimiento	inflaming
*** 1721 - 1730 (/course/195614/spanish-nouns-5/173/)	
la exnovia	Ex-Girlfriend
el fagocito	phagocyte
el falopio	tubes
el farfán	Farfan
el folletito	pamphlet
el fonólogo	phonologist
la formalina	formalin
la freidora	"deep-fryer, electric fryer"
la fulanita	twinkie
la gachí	"skirt, doll, bird"
*** 1731 - 1740 (/course/195614/spanish-nouns-5/174/)	
el gafete	badge
el galeoto	Galeotti
la galla	"bird, girl"
el gambiano	Gambian
la gammaglobulina	gammaglobulin
(el)(la) generalista	generalist
la giberelina	gibberellin
la gonadotrofina	gonadotrophin
el gotoso	gouty
la guirlanda	garland
*** 1741 - 1750 (/course/195614/spanish-nouns-5/175/)	
el heptágono	heptagon
el hexagrama	hexagram
el hipocorístico	"pet name, affectionate form"
la hondureña	Honduras
el ibicenco	Ibiza
la incongruidad	incongruity
la inexpugnabilidad	impregnability
la interficie	interfacing
la josa	advantageous
