*** 1 - 25 (/course/66563/koine-greek-3/1/)	
ὁ 	"the, who, which"
ἄμωμος	"blameless, spotless"
ἀναγκαῖος	necessary
ἀντίκειμαι	to oppose
ἄπειμι	"to be absent, be away (sum)"
ἀπεκδέχομαι	to await
ἀπιστέω	"to disbelieve, distrust"
ἡ ἁπλότης	"generosity, sincerity"
*** 1251 - 1275 (/course/66563/koine-greek-3/51/)	
ἀποκαθίστημι	"to restore, return"
ἡ ἀπολογία	defense
ἀργός	"idle, lazy; useless"
ἀρκέω	"to be content, be enough"
ἄφθαρτος	"imperishable, immortal, incorruptible"
τὸ βάθος	depth
βέβαιος	"sure, firm, certain"
βεβαιόω	to confirm
ἡ Βηθλέεμ	Bethlehem
βοηθέω	to help
ὁ βοῦς	"ox, cow"
τὸ βρέφος	infant
γεμίζω	to fill
γογγύζω	to grumble
ὁ δάκτυλος	finger; toe
δεῦρο	to here; to now; come!
διακόσιοι	two hundred
διανοίγω	"to open up, reveal"
διαστέλλω	"to order, command"
διασῴζω	to escape
διηγέομαι	"to describe in detail; tell, explain"
δουλόω	to enslave
τὸ δρέπανον	sickle
εἰσφέρω	to bring in
ἐκφέρω	"to carry out, carry away"
*** 1276 - 1300 (/course/66563/koine-greek-3/52/)	
ἐκφεύγω	to escape
ἕλκω	"to attract, drag"
ἐναντίος	"against, opposed, opposite"
τὸ ἔνδυμα	clothing
ἡ ἐνέργεια	"working, action, energy"
ἐνθάδε	"here, to this place"
ἐξαιρέω	"to take out, remove, choose, deliver"
ἐπιλανθάνομαι	to forget
ἐπισυνάγω	"to gather together, to narrow"
ἡ ἐσθής	clothing
ἔσω	(+gen) inside (prep.); within (adv.)
εὐθύς	"straight; proper, right"
εὐλογητός	blessed
ὁ εὐνοῦχος	eunuch
ὁ ζηλωτής	zealot; jealous
τὸ ζιζάνιον	"weed, darnel"
ἡ ζώνη	"belt, waistband"
ἡ ἡλικία	"time of life, life span, height"
θησαυρίζω	to store up treasure
καλύπτω	to cover
καρποφορέω	to bring forth fruit
κατηχέω	"to instruct, catechize"
ἡ Κιλικία	Cilicia
κινέω	"to move, disturb"
κοινωνέω	"to share, take part"
*** 1301 - 1325 (/course/66563/koine-greek-3/53/)	
κόπτω	"to smite, cut down, mourn"
τὸ κοράσιον	girl
ὁ Κορνήλιος	Cornelius
ὁ Λευί	Levi
ὁ Μᾶρκος	Mark; Marcus
μεγαλύνω	"to enlarge, magnify, boast, grow"
μεθερμηνεύω	"to translate, interpret"
ὁ Μελχισέδεκ	Melchizedek
μέντοι	"but, nevertheless"
μετέχω	to partake
τὸ μέτωπον	forehead
τὸ μνῆμα	tomb
ἡ μυριάς	"myriad, ten thousand; countless thousands"
νουθετέω	"to warn, admonish"
ἡ νύμφη	bride
ὁ Νῶε	Noah
ξηρός	"dry, withered"
ὀκτώ	eight
ὀξύς	"sharp, sharply"
ὀργίζω	to be angry
ὁρίζω	to determine
ὅσιος	"hallowed, holy, sanctified; pious, pure"
ἡ ὀσφῦς	waist
πάντως	by all means
ἡ πατρίς	homeland
*** 1326 - 1350 (/course/66563/koine-greek-3/54/)	
πέραν	"(+gen) beyond, across"
περιτίθημι	to put on
τὸ πλοῦτος	riches
πορνεύω	to commit sexual immorality
τὸ πραιτώριον	"praetorium, army headquarters"
προΐστημι	"to manage, stand before, lead"
προςκόπτω	to strike against; to stumble
προςπίπτω	to fall upon; to fall down before
πρωτότοκος	firstborn
ἡ Ῥώμη	Rome
σαπρός	rotten
τὸ στράτευμα	military campaign; army
συγκαλέω	to call together
συλλέγω	"to gather, collect, glean"
συμβαίνω	"to happen, befall"
τὸ συμβούλιον	"plan, council"
ἡ Συρία	"Syria, Aram"
τὸ σχίσμα	division
ταπεινός	humble
τάσσω	to appoint; to station
τὸ τάχος	quickness; quickly
τὸ τεκνίον	little child
ἡ ὑπερβολή	exceeding quality; excess
τὸ χάραγμα	"mark, stamp"
ἀγανακτέω	to be indignant
*** 1351 - 1375 (/course/66563/koine-greek-3/55/)	
ἡ ἀγέλη	herd
ἁγνίζω	to purify
ἀεί	always
τὸ ἄζυμος	unleavened bread
ὁ ἀήρ	air
ἄκαρπος	unfruitful
ἀνθρώπινος	human
ἀνταποδίδωμι	"to give back, pay back, recompense"
ἀξιόω	to count worthy
ἡ ἀπάτη	"deceit, deceitfulness"
ἡ ἀπείθεια	"unbelief, disobedience"
ἀποδέχομαι	to receive
ἀπολείπω	to leave
ἀτιμάζω	to dishonor
ἡ ἀτιμία	dishonor
ἡ ἀφθαρσία	"incorruptibility, immortality"
ἡ ἀφορμή	occasion
ὁ Βεελζεβούλ	Beelzebub
ἡ Βηθσαϊδά	Bethsaida
βρέχω	"to rain, drench"
ὁ βρυγμός	"grinding, gnashing"
γαμίζω	to give in marriage
δέκατος	"tenth, tithe"
δηλόω	"to make clear, declare"
διαστρέφω	"to turn, to pervert"
*** 1376 - 1400 (/course/66563/koine-greek-3/56/)	
διατίθημι	to make (a covenant)
ἡ δοκιμή	"character, proof"
δόκιμος	"approved; excellent, pure"
τὸ δῶμα	"roof, housetop"
Ἑβραϊστί	in the Hebrew/Aramaic language
ἐγκαλέω	"to call in, accuse"
ὁ εἰδωλολάτρης	idolater
ἐκζητέω	to search earnestly
ἡ ἐκλογή	"election, choice; selection, extract"
ἡ ἔκστασις	"trance, vision; amazement"
ἐλευθερόω	"to free, set free, release"
ἐμπίπτω	"to fall in, fall upon, attack"
ἐνδυναμόω	to be strong
ἔνειμι	"to be in, be there  (sum)"
ἐνίστημι	"to begin, be, be upon, be present"
ἐπίγειος	"earthly, terrestrial"
ἐπιδείκνυμι	"to show, display, exhibit"
ἐπίκειμαι	"to lie on, crowd, insist, attack"
ὁ ἐπιστάτης	"chief, commander, Master"
ἡ ἐπιταγή	commandment; authority
ἐποικοδομέω	to build up
ἡ ἐριθεία	strife
εὔκοπος	easy
εὔχομαι	"to wish, pray, long for; to vow"
ἡ ζήτησις	search; debate
*** 1401 - 1425 (/course/66563/koine-greek-3/57/)	
ἡμέτερος	our
θαρσέω	"to be confident, courageous"
τὸ θεῖον	sulphur
ὁ θόρυβος	"confusion, noise, tumult"
ὁ ἰατρός	"physician, doctor, healer"
ἡ Ἰεριχώ	Jericho
ἴσος	equal
ὁ καθαρισμός	"cleansing, purification"
καθέζομαι	to sit
καταπίνω	"to swallow, swallow up, drown"
κλίνω	"to lay, tip over"
ὁ κόκκος	"grain, seed, scarlet"
κρεμάννυμι	"to hang, hang on, hang up"
κτάομαι	"to obtain, acquire"
κυριεύω	"to rule over, dominate"
λάμπω	to shine
λιθοβολέω	to throw stones
ὁ λιμός	famine
μαστιγόω	"to whip, beat with a whip"
μεταλαμβάνω	"to share in, receive"
μεταξύ	(+gen) between; meanwhile (adv.)
ἡ μνεία	"remembrance, mention"
ὁ νότος	south; south wind
ὀλίγος	"little, few"
οὐθείς	"nobody, no one"
*** 1426 - 1450 (/course/66563/koine-greek-3/58/)	
ὁ ὀφειλέτης	debtor
πάλαι	long ago
πανταχοῦ	everywhere
ἡ παράβασις	disobedience
πεντήκοντα	fifty
περιβλέπω	to look around
περισσότερος	more
πνέω	to blow
πολεμέω	to wage war
ἡ πονηρία	wickedness
ποταπός	what sort of? what kind of?
πρέπω	to be fitting
προςμένω	to wait; to remain with
προςτάσσω	to command
προςφωνέω	"to call, speak"
τὸ πτῶμα	corpse
ῥίπτω	"to throw, cast down"
ἡ ῥομφαία	sword
σαρκικός	"material, worldly"
ἡ Σιών	Zion
ἡ σκιά	shadow
ἡ σπεῖρα	military unit; cohort
τὸ στάδιον	stade (length); stadium; walkway
ὁ Στέφανος	Stephen
τὸ στοιχεῖον	element; letter (of alphabet)
*** 1451 - 1475 (/course/66563/koine-greek-3/59/)	
στρατεύω	to serve as a soldier; to wage war
συγχαίρω	to rejoice with
συμβιβάζω	"to advise; to bring together, unite"
ὁ Συμεών	Simeon
συνανάκειμαι	"to recline together, to eat with"
ἡ σύνεσις	"understanding, intelligence"
συντρίβω	"to crush, to break"
ἡ ταπεινοφροςύνη	humility
ὁ τάφος	grave
ὁ τράχηλος	"neck, throat"
τρίτος	third
ὑπομιμνῄσκω	to remind
τὸ ὑποπόδιον	footstool
φθάνω	"to come before, to overtake, to reach"
τὸ φίλημα	kiss
φιμόω	to put to silence
ἡ φλόξ	flame
ὁ φονεύς	murderer
τὸ φρέαρ	"well, pit"
φυσιόω	to cause conceit
χαλάω	to let down; to loosen
τὸ χεῖλος	"lip, shore"
χρηστός	kind
ὁ ψαλμός	psalm
ἡ ᾠδή	song
*** 1476 - 1500 (/course/66563/koine-greek-3/60/)	
ὥσπερ	"as, just as"
ὁ ἀγών	gathering; contest
ὁ αἰγιαλός	shore
ἡ αἰσχύνη	shame
τὸ ἄκρον	"top, end, height, extremity, thumb"
ὁ Ἀκύλας	Aquila
ὁ Ἀλέξανδρος	Alexander
ἀλλάσσω	"to change, exchange, follow in order"
τὸ ἀνάθεμα	accursed
ἀνακλίνω	"to sit down, recline"
ἀναμιμνῄσκω	"to remind, remember"
ἀναπληρόω	"to fill up, supply, fulfill"
ἀνόητος	foolish
ἀνυπόκριτος	"sincere, irrevocable"
ἀξίως	in a worthy manner
ἀπειθής	disobedient
ἀποδημέω	to take a journey
ἡ ἀποθήκη	"barn, storehouse"
ἀποκόπτω	to cut off; castrate; excommunicate
ἀπορέω	to be at a loss
ἀποςτερέω	to defraud
ἀποτάσσω	to say good-bye
ἀποφέρω	"to carry off; obtain, win back"
ἀπωθέω	"to push back, drive off, cast away, reject"
ἡ ἀσέβεια	"ungodliness, impiety"
*** 1501 - 1525 (/course/66563/koine-greek-3/61/)	
βάρβαρος	foreign; foreigner; barbarian
βαρέω	"to be heavy, to weigh down"
τὸ βάρος	"burden, load, weight"
βαρύς	"heavy, hard"
ὁ βασανισμός	"torment, torture"
τὸ βδέλυγμα	"something detestable, abomination"
βουλεύω	"to take counsel, to plan, to devise"
ἡ διάλεκτος	language
διαπεράω	"to go over, pass through"
διαφθείρω	to destroy
ἡ διαφθορά	"decay, rot"
διεγείρω	to raise up; to awaken
διερμηνεύω	"to explain, interpret"
δίς	twice
ἡ δοκός	"log, beam"
ἐγκακέω	to become discouraged
ἐγκεντρίζω	to spur on; to graft
εἰκῇ	"in vain, randomly"
εἴπερ	"since, if it is true that"
ἐκδέχομαι	"to receive, wait for"
ἐκδικέω	to avenge
ἐκδύω	"to strip, take off"
ἐμπτύω	to spit upon
ἕνδεκα	eleven
ἐξαπατάω	to deceive
*** 1526 - 1550 (/course/66563/koine-greek-3/62/)	
ἐξαυτῆς	immediately
ἐξηγέομαι	"to explain, order; interpret, exposite"
ἐπαινέω	to praise
ἐπιβαίνω	to sit
ἡ ἐπιφάνεια	"appearing, manifestation"
ἐραυνάω	"to search, examine"
ἡ ἐργασία	"work, gain, profit"
ἡ ἔχθρα	"enmity, hatred"
ζημιόω	"to punish, to lose"
ὁ ζυγός	"yoke, balance scales"
ἡ Ἡρῳδιάς	Herodias
θαρρέω	"to be courageous, brave"
θαυμαστός	"marvelous, wonderful"
θερμαίνω	"to warm, warm oneself"
θνητός	mortal
τὸ θυμίαμα	incense
τὸ Ἰκόνιον	Iconium
ἱνατί	why?
καθότι	"because, for, as"
κακόω	"to do evil, harm"
τὸ κάρφος	"twig, speck, splinter"
καταλλάσσω	to reconcile
τὸ καταπέτασμα	"veil, curtain"
ἡ κατάρα	"curse, cursing"
καταφιλέω	to kiss
*** 1551 - 1575 (/course/66563/koine-greek-3/63/)	
ἡ κιβωτός	"box, chest, ark"
ἡ κλείς	key
κόκκινος	scarlet
ὁ κόλπος	"bosom, chest"
ἡ Κόρινθος	Corinth; Corinthos
ὁ κόφινος	basket
ἡ κραυγή	"shout, outcry"
ὁ Κυρηναῖος	Cyrenian
λανθάνω	"to forget, to hide"
ἡ Λαοδίκεια	Laodicea
λείπω	"to leave, lack, forsake"
ἡ λειτουργία	"service, ministry, worship"
ὁ λύκος	wolf
ὁ μάγος	"wise man, magician"
ἡ μάστιξ	whip
μάταιος	"empty, vain"
μέλας	black
ἡ μέριμνα	"care, anxiety"
ὁ μεσίτης	mediator
μεταμέλομαι	"to regret, repent"
μετατίθημι	"to remove, change"
μέτοχος	partaker
μηδέ	"nor, and not"
ὁ μιμητής	imitator
μόλις	"scarcely, hardly"
*** 1576 - 1600 (/course/66563/koine-greek-3/64/)	
ὁ μόσχος	calf
Ναζαρηνός	Nazarene
ὁ Ναθαναήλ	Nethanel; Nathanael
νήφω	"to be sober, self-controlled"
τὸ νόημα	"mind, thought"
ὅθεν	"therefore, where, from where"
τὸ ὁμοίωμα	likeness
ἡ ὁμολογία	confession; vow
τὸ ὄναρ	dream
τὸ ὄξος	sour wine; vinegar
τὸ ὅπλον	weapon; armor
ἡ ὀσμή	"smell, stench"
ἡ παιδεία	"instruction, discipline"
παραδέχομαι	to receive
ἡ παρασκευή	preparation; preparation day (Friday)
παρατηρέω	to watch
ἡ πενθερά	mother-in-law
πεντακισχίλιοι	five thousand
ἡ πεποίθησις	confidence
περιάγω	to go around
περιζώννυμι	"to wrap around, make oneself ready"
ὁ πηλός	"mud, clay"
ἡ πήρα	bag
πλέω	to sail
πληροφορέω	to be set on; to assure fully
*** 1601 - 1625 (/course/66563/koine-greek-3/65/)	
ὁ ποιητής	"maker, creator; poet"
ἡ πρᾶξις	"deed, action"
προκόπτω	"to advance, grow; cut beforehand"
προορίζω	to decide beforehand
τὸ πρόσκομμα	stumbling stone
ἡ πρόφασις	"motive, false motive, excuse, pretext"
ὁ πυρετός	fever
πυρόω	to burn
πώποτε	"ever, at any time"
ῥήσσω	"to break, tear, attack, burst out"
σβέννυμι	"to extinguish, quench"
σημαίνω	"to indicate, signify"
ἡ σινδών	"linen cloth, garment"
σκληρύνω	to harden; to make stubborn
σκοπέω	to pay attention to; watch closely
σπεύδω	to hasten
τὸ σπήλαιον	cave
ὁ σπόρος	seed; seed-time
στενάζω	"to groan, mourn"
στρωννύω	"to spread, furnish"
συλλαλέω	to speak with
συμβάλλω	"to meet, consider, compare"
συμφωνέω	to agree with
συναντάω	"to meet, come upon"
συνευδοκέω	to approve of; to agree to
*** 1626 - 1650 (/course/66563/koine-greek-3/66/)	
ἡ συντέλεια	"consummation, completion, perfection, end"
συντελέω	"to finish, to end"
σωφρονέω	to be in a right mind
ἡ Τρῳάς	Troas
τρώγω	to eat
ὁ ὕπνος	sleep
τὸ ὑπόδειγμα	"example, pattern"
ὑποδείκνυμι	"to show, inform"
ἡ ὑπόκρισις	hypocrisy
τὸ ὕψος	height
φαῦλος	"evil, base; ordinary"
φθαρτός	"perishable, corruptible"
ἡ φιλαδελφία	brotherly love
φορέω	to wear; to bear
τὸ φορτίον	burden
τὸ φύλλον	leaf
ὁ χειμών	winter; bad weather
χειροποίητος	hand-made
τὸ χρῆμα	"possessions, wealth"
ψυχικός	"natural, unspiritual"
ὡσαννά	"hosanna (Aram. save, I pray)"
ὁ Ἀαρών	Aaron
ἡ ἀγαλλίασις	gladness
ᾄδω	to sing
ὁ ἀετός	"eagle, vulture"
*** 1651 - 1675 (/course/66563/koine-greek-3/67/)	
Αἰγύπτιος	Egyptian
αἰσχύνω	to be ashamed
αἴτιος	"cause, source"
ἡ ἀκαταστασία	confusion
ὁ ἁλιεύς	fisherman
ὁ Ἁλφαῖος	Alphaeus
ἄμεμπτος	blameless
ἡ ἄμμος	sand
ἀνακράζω	to cry out
ἡ ἀνάπαυσις	rest
ἀναπέμπω	to send
ἀνέγκλητος	blameless
ἀνεκτός	more tolerable
ἡ ἄνεσις	"rest, relaxation, relief"
ὁ ἀνθύπατος	proconsul
ὁ ἀντίδικος	"adversary, foe"
ἀντιτάσσω	to resist
ὁ ἀντίχριστος	antichrist
ἀόρατος	"invisible, unseen"
ἀπέναντι	"(+gen) opposite, before, against"
ὁ ἄργυρος	silver
ἡ ἀρετή	moral excellence
ὁ Ἀρίσταρχος	Aristarchus
ἅρπαξ	"rapacious, thieving; thief"
ἄρρωστος	sick
*** 1676 - 1700 (/course/66563/koine-greek-3/68/)	
ἡ Ἄρτεμις	Artemis
ἀσύνετος	without understanding
ἀσφαλής	"certainty, safe, steadfast"
ἀφανίζω	"to hide, conceal, darken; ruin, destroy"
ἄχρι	(+gen) until
βασιλικός	royal; royal officer; palace
βέβηλος	"vile, profane"
βύσσινος	made of fine linen
τὸ γαζοφυλάκιον	treasury
ὁ Γάϊος	Gaius
τὸ γάλα	milk
ἡ γένεσις	"birth, lineage, offspring, family"
δαπανάω	to spend
δεκατέσσαρες	fourteen
δεκτός	acceptable
δεύτερος	second
δή	"indeed, then, therefore, now"
διαμένω	to continue
διαπορεύομαι	to pass through
διαρήγνυμι	to break through; tear
δικαίως	"justly, rightly"
τὸ δόγμα	"determination, judgment, decree; dogma, doctrine"
ἡ δουλεία	slavery
ἡ δυσμή	"going down, setting (of sun)"
ἑβδομήκοντα	seventy
*** 1701 - 1725 (/course/66563/koine-greek-3/69/)	
ἐγκόπτω	"to cut off, hinder"
εἰ	if; whether
τὸ εἶδος	"form, outward appearance"
εἰσακούω	"to hear, hearken"
ἡ εἴσοδος	"entrance, coming"
ἐκλύω	"to loosen, weaken, fail"
ἐκμάσσω	to wipe
ἐκτρέπω	"to turn, change, wander"
ἐλαύνω	"to drive, row"
ἐμβριμάομαι	to rebuke; speak harshly; warn
ἐμπίπλημι	to fill
ὁ ἔμπορος	"traveler, merchant"
ἔμφοβος	afraid
ἐναντίον	(+gen) before
ἐννέα	nine
ἐνοικέω	to dwell in
ἔντιμος	precious
ἐντυγχάνω	"to turn to, appeal, converse"
ἐξαίφνης	"suddenly, immediately"
ἐξαλείφω	"to plaster, wash over, wipe out"
ἑξῆς	next in order; on the next day
ἔπειμι	"to be upon, so set upon, remain (sum)"
ἐπέχω	"to hold, hold back; to notice, give close attention to"
ἡ ἐπιγραφή	superscription
ἐπιγράφω	"to write, write upon"
*** 1726 - 1750 (/course/66563/koine-greek-3/70/)	
ἐπιεικής	"gentle, forbearing"
ἐπισκιάζω	to overshadow
ὁ ἐπίσκοπος	"overseer, bishop, guardian"
ἐπιτυγχάνω	"to obtain, attain, be successful"
ἐπιχορηγέω	"to supply, give"
ἐρημόω	to make desolate
εὖ	"well, good"
εὐπρόσδεκτος	acceptable
εὐσχήμων	"respected, presentable, graceful"
ἐφάπαξ	"once, once for all"
Ἐφέσιος	Ephesian
ἡ ἔχιδνα	"snake, viper"
τὸ ζήτημα	"dispute, question"
ὁ ζόφος	gloom
ἡδέως	"gladly, with pleasure"
ἡ ἡδονή	"pleasure, delight"
ἥμισυς	one half
ἡσυχάζω	"to remain quiet, be at rest"
θεμελιόω	to found
ἡ Θεσσαλονίκη	Thessalonica
θηλάζω	to nurse
θῆλυς	"female, feminine, delicate, soft"
ὁ θώραξ	breastplate
ὁ Ἰάσων	Jason
ὁ ἰδιώτης	"unlearned, untrained, private person"
*** 1751 - 1775 (/course/66563/koine-greek-3/71/)	
ὁ Ἰεσσαί	Jesse
ὁ ἱματισμός	clothing
καθεξῆς	"in order, sequence"
καίπερ	though
καταδικάζω	to condemn
κατακλίνω	"to sit down, cause to sit down"
καταλαλέω	to speak evil of
καταπατέω	"to trample on, oppress"
καταράομαι	to curse
κατέναντι	"(+gen) opposite, before, in the presence of"
κενόω	"to make of no effect, make empty"
ὁ κῆπος	garden
κολαφίζω	to beat
ὁ κονιορτός	"dust, dustcloud"
τὸ κράσπεδον	"fringe, border"
ἡ Κρήτη	Crete; Cretan; Kerethite
κύκλῳ	(+gen) round (prep.);  in a circle (adv.)
τὸ κῦμα	wave
ἡ Κύπρος	Cyprus
ὁ κύων	dog; (metaph) male prostitute
ἡ λατρεία	"service, worship"
ὁ λειτουργός	"servant, minister"
ἡ ληνός	winepress
ἡ λιμός	famine
λούω	to wash
*** 1776 - 1800 (/course/66563/koine-greek-3/72/)	
ὁ Μαθθαῖος	Matthew
μαίνομαι	"to be insane, to be furious"
ὁ Μακεδών	Macedonian
μαρτύρομαι	to testify; to call to witness
μεθίστημι	"to remove, change, turn aside"
μεθύσκω	to get drunk
μεθύω	"to be drunk, drink freely"
ἡ μερίς	"part, portion"
μεταδίδωμι	"to impart, share, distribute"
μετασχηματίζω	to transform
μιαίνω	"to defile, pollute"
ὁ μῦθος	"myth, fable, story"
ἡ μωρία	foolishness
ἡ νηστεία	"fast, fasting"
ὁ Νικόδημος	Nicodemus
ὄγδοος	eighth
ὁδηγέω	"to lead, guide"
ὁ ὁδηγός	"leader, guide"
τὸ ὀθόνιον	"linen cloth, wrapping"
ὁ οἰκτιρμός	compassion
ὀλιγόπιστος	of little faith
ὁ ὀνειδισμός	"disgrace, insult"
ὄπισθεν	(+gen) behind (prep.); from behind (adv.)
ὁποῖος	of what sort; (adv) in like manner
ὁρμάω	to rush
*** 1801 - 1825 (/course/66563/koine-greek-3/73/)	
ἡ οὐρά	tail
τὸ ὀψάριον	fish
ἡ παγίς	"snare, trap"
παίω	"to strike, hit"
ἡ Παμφυλία	Pamphylia
ἡ πανουργία	craftiness
ὁ παραβάτης	one who disobeys; transgressor
ἡ παραγγελία	commandment
ὁ παράκλητος	"helper, advocate"
παρακύπτω	to look through; to lean in; to stoop down
παραλύω	"to weaken, disable, be paralyzed"
παραπορεύομαι	to pass by
ἡ παροιμία	"proverb, maxim; parable"
πατέω	to trample
τὸ πένθος	mourning
περιαιρέω	to take away
περίκειμαι	"to be bound, surrounded"
περίλυπος	very sorrowful
ἡ περιποίησις	preservation; obtaining; possession
τὸ περίσσευμα	abundance
πέτομαι	to fly
ὁ πίναξ	"plate, platter; plank, tablet"
πλάνος	error; deceitful
πλεονεκτέω	to be greedy; take advantage of
ἡ πλευρά	side; rib
*** 1826 - 1850 (/course/66563/koine-greek-3/74/)	
τὸ πλοιάριον	small boat
ἡ ποίμνη	flock
προβαίνω	"to go on, advance; be old"
προγινώσκω	"to know ahead of time, choose ahead of time"
ἡ προθυμία	"willingness, eagerness, goodwill"
πρόκειμαι	"to set before, to lie before"
ἡ πρωτοκλισία	place of honor
πταίω	to cause to fall; to fall
ἡ πτέρυξ	wing
πωρόω	"to harden, make stubborn; become dim"
σείω	to shake
σιδηροῦς	made of iron
τὸ σίναπι	mustard plant
σκηνόω	"to pitch a tent, dwell in a tent"
σκληρός	"hard, cruel"
σκορπίζω	to scatter
ὁ σκορπίος	scorpion
σκοτίζω	to darken
ἡ σπυρίς	basket
ὁ στάχυς	head of grain
τὸ στῆθος	"chest, breast"
στοιχέω	"to walk, live; prosper"
συγχέω	"to mingle together, confuse, confound"
συμπνίγω	to choke
συνεργέω	"to work with, assist; collaborate"
*** 1851 - 1875 (/course/66563/koine-greek-3/75/)	
συνεσθίω	to eat with
σύρω	"to drag, draw"
συσταυρόω	to crucify with
τετρακισχίλιοι	four thousand
ὁ τρόμος	trembling
ὁ Τυχικός	Tychicus
ὑβρίζω	to boast; to insult
ὁ ὑετός	rain
ἡ υἱοθεσία	adoption
ὑπερβάλλω	"to exceed, surpass"
ὑπερέχω	"to excel, exceed, be better than"
ὑπερήφανος	"proud, arrogant"
ὑπολαμβάνω	to suppose; to lift up; to reply
ἡ ὑπόστασις	"support, foundation, confidence"
ὁ Φαραώ	Pharaoh
ὁ φόρος	"tribute, tax"
τὸ φύραμα	lump of dough
φωτεινός	"bright, full of light"
ὁ χαλκός	"bronze, brass, brass gong"
χρῄζω	to have need
χρίω	to anoint
χρονίζω	to stay long; to delay
ψάλλω	to play a harp; to sing a psalm
ψευδομαρτυρέω	to bear false testimony
ὁ Ἅβελ	Abel
*** 1876 - 1900 (/course/66563/koine-greek-3/76/)	
ἡ ἀγαθωσύνη	goodness
ἄγαμος	unmarried
ἡ ἄγκυρα	anchor
ἡ ἄγνοια	ignorance
ἀγρυπνέω	"to lose sleep, watch"
ἀδιαλείπτως	without ceasing
ἡ Ἀθῆναι	Athens
αἰσχρός	"filthy, shameful"
αἰχμαλωτίζω	to put into captivity
ἡ ἀκρίς	"locust, locust swarm"
ὁ ἀκροατής	hearer
ἁλληλουϊά	hallelujah (Heb. praise Yah[weh])
τὸ ἁμάρτημα	"sin, sin offering"
ἀμελέω	to neglect
ἀμίαντος	undefiled
ὁ ἀμνός	lamb
ἀναθεματίζω	"to curse, to devote"
ἀνακάμπτω	to return
ἀνακύπτω	"to stand up, turn upward"
ἡ ἀνάμνησις	remembrance
τὸ ἄνθος	flower
ἀνίημι	"to send back, throw up, leave, lift up, forgive, relax"
ὁ Ἅννας	Hannas; Annas
ἀντέχω	"to resist, withstand, seek after"
ἡ ἀντιλογία	"contradiction, lawsuit, controversy"
*** 1901 - 1925 (/course/66563/koine-greek-3/77/)	
ἀντλέω	to draw
ἄνυδρος	"dry, waterless"
ἀνυπότακτος	unruly
ἀποβαίνω	"to turn, go away, depart"
ἀπογράφω	"to register, enroll"
ἀποδείκνυμι	"to show, exhibit, demonstrate, commend"
ἀποδεκατόω	to tithe
ἀπόκειμαι	to store away
ἀποκεφαλίζω	to behead
ἡ ἀπόκρισις	answer; separating
ἀποκρύπτω	to hide
ἀποκυλίω	to roll away
ἀποπλέω	to sail off; to serve
ἀποςπάω	"to draw, lead away"
ἡ ἀποςτολή	"sending away; discharge; reward, gift; apostleship; apostolate"
ἀρεστός	pleasing
ἡ Ἁριμαθαία	Arimathaea
ἀριστερός	left hand
τὸ ἅρμα	chariot
ὁ ἀρχηγός	"prince, ruler; originator, founder"
τὸ ἄρωμα	spices
ἄσπιλος	without spot
τὸ ἄστρον	star
ἀσφαλίζω	"to make sure, to keep safe"
ἄτιμος	"unhonored, dishonored"
*** 1926 - 1950 (/course/66563/koine-greek-3/78/)	
ἄτοπος	"out of place, untrodden, odd; paradoxical, absurd"
αὐτοῦ	"here, there"
ἀφόβως	without fear
ἡ ἀφροςύνη	foolishness
ἄφωνος	"speechless; unsounded, unvoiced; consonant"
βαθύς	deep
τὸ βαλλάντιον	coin bag
ὁ βαπτισμός	"baptism, washing"
βάπτω	to dip
ὁ Βαρθολομαῖος	Bartholomew
ἡ βασίλισσα	queen
ὁ Βενιαμίν	Benjamin
βλαστάνω	to sprout
βλάσφημος	"blasphemous, blasphemer"
βραχύς	"short, small, little"
ἡ Γαλατία	Galatia
τὸ γένημα	"product, harvest, offspring"
τὸ γέννημα	"produce, harvest, offspring"
γλυκύς	sweet
γνήσιος	genuine
ὁ γογγυσμός	"murmuring, grumbling"
γονυπετέω	to kneel
γυμνάζω	"to exercise, harass"
δαμάζω	"to tame, subdue"
δανείζω	to lend; borrow
*** 1951 - 1975 (/course/66563/koine-greek-3/79/)	
δειπνέω	"to eat, dine"
τὸ δεσμωτήριον	prison
ὁ δῆμος	people
δημόσιος	public
διαδίδωμι	"to divide, distribute"
διαπορέω	to doubt
διάφορος	"different, superior; unlike"
διηνεκής	continually
διορύσσω	"to dig through, break through"
τὸ δόμα	gift; dwelling
ὁ Ἑβραῖος	Hebrew/Aramaic
ἡ ἐγκράτεια	self-control
ἐθνικός	"pagan, Gentile"
ἡ εἰδωλολατρία	idolatry
εἰρηνεύω	to have peace
εἴσειμι	"to enter, come before; recognize"
εἴωθα	"to be accustomed, custom"
ἐκδίδωμι	"to give up, publish, hand over, lease"
ἐκθαμβέω	to be alarmed
ἐκλείπω	"to fail, desert"
ἐκπειράζω	"to tempt, test"
ἐκριζόω	to uproot
ἐκτίθημι	"to explain, expose, make public"
ἐκτινάσσω	to shake off
ἐκτός	unless; outside; (+gen) out of (prep.)
*** 1976 - 2000 (/course/66563/koine-greek-3/80/)	
ἐκτός	unless; outside; (+gen) out of (prep.)
ἐλεάω	"to be merciful, show mercy"
ἐμμένω	to continue
ἔμπροςθεν	"(+gen) before, in front of"
ἡ ἔνδειξις	"indication, evidence"
ἔνδοξος	"honored, eminent; glorious"
