*** 1 - 10 (/course/195613/spanish-nouns-4/1/)	
el pajecillo	little page
el prestatario	borrower
el coscorrón	"bump on the head, clout"
el burrito	burrito
la gargantilla	choker
la canaleta	chute
los cómicos	"comic, comedian"
el orientador	counselor
la espantada	"desertion, flight, fleeing"
*** 851 - 860 (/course/195613/spanish-nouns-4/86/)	
la detracción	detraction
la distintiva	distinctive
el diurno	"diurnal, day"
la chilaba	"djellaba, jellaba, hijab"
la mancuerna	"dumbbell, weight, rope"
la elefantiasis	elephantiasis
la expectoración	expectoration
la flatulencia	"flatulence, flatulency, wind"
el gladiolo	"gladiolus, gladiola"
el entorchado	"gold braid, bullion"
*** 881 - 890 (/course/195613/spanish-nouns-4/87/)	
la espata	shuck
el ruidito	small noise
(el)(la) sabelotodo	"smarty, smart ass, smart aleck"
el sembrador	sower
el espectroscopio	spectroscope
el aliviadero	spillway
la jarcia	"tackle, rigging"
la tarja	tally
el chivatazo	tip
el excusado	"toilet, lavatory, restroom"
*** 861 - 870 (/course/195613/spanish-nouns-4/88/)	
el horticultor	"horticulturist, nurseryman"
el justillo	jerkin
(el)(la) litigante	litigant
los longobardos	Lombards
el miligramo	"milligram, milligramme"
el barrizal	"mire, muddy area, muddy place"
(el)(la) marmolista	monumental mason
(el)(la) nasal	nasal
la notabilidad	"notability, notable"
el fonograma	phonogram
*** 871 - 880 (/course/195613/spanish-nouns-4/89/)	
el cascote	"piece of rubble, rubble"
los quevedos	pince-nez
el pistilo	pistil
las pulsaciones	pulsations
la metedura	putting
la péndola	queen post
el remache	"rivet, clinch, final touch"
el romano	"Roman, Romany"
el sargazo	sargasso
el escopetazo	shotgun
*** 911 - 920 (/course/195613/spanish-nouns-4/90/)	
la impresionabilidad	impressionability
el incordio	"nuisance, pain in the neck"
la incorruptibilidad	incorruptibility
el itrio	yttrium
el lunfardo	"slang, lunfardo, crook"
la magnesia	magnesia
el mentalismo	mentalism
el multiprocesador	multiprocessor
el octógono	octagon
el pareo	"matching, pareo, beach wrap"
*** 891 - 900 (/course/195613/spanish-nouns-4/91/)	
la menudencia	"trifle, minuteness, doit"
la vasectomía	vasectomy
el vagabundeo	"wandering, roam, wanderings"
el tarugo	"wooden peg, doorstep"
el zooplancton	zooplankton
(el)(la) portaestandarte	standard-bearer
el contraterrorismo	counterterrorism
la coronela	colonel
las babosas	slug
el feligrés	parishioner
*** 901 - 910 (/course/195613/spanish-nouns-4/92/)	
el isleño	islander
el acónito	"aconite, monkshood"
el adeudo	"duty, customs duty, debt"
la analgesia	analgesia
el antiguo	old one
el autobombo	"self-praise, self-advertisement"
el clasismo	classism
la exfoliación	exfoliation
el führer	Fuhrer
el galvanómetro	galvanometer
*** 941 - 950 (/course/195613/spanish-nouns-4/93/)	
la pajarera	"aviary, birdcage"
la bronquiolitis	bronchiolitis
la bufonada	"buffoonery, clowning, antic"
la hamburguesería	burger
el conciliábulo	cabal
el tallado	"carving, engraving, sculpting"
la acusada	"charged, accused, indicted"
la cigarrera	cigar case
el quino	cinchona
(el)(la) reclamante	claimant
*** 921 - 930 (/course/195613/spanish-nouns-4/94/)	
la pilosidad	"pilosity, furriness"
el praseodimio	praseodymium
el puff	"pouffe, pouf"
el pupilaje	"pupilage, pupillage"
la radícula	radicle
la salivación	salivation
el sanedrín	"sanhedrin, sanhedrim"
el tarjetero	card index
el terranova	Newfoundland
la urología	urology
*** 951 - 960 (/course/195613/spanish-nouns-4/95/)	
la abrazadera	"clamp, cleat, brace"
el peleador	cockish
la chirimoya	custard apple
(el)(la) marchante	dealer
el fumadero	den
(el)(la) proyectista	"designer, projector, draftsman"
el artificiero	explosive expert
la alharaca	"fuss, over-reaction, song and dance"
el gameto	gamete
la granulometría	granulometry
*** 931 - 940 (/course/195613/spanish-nouns-4/96/)	
la videncia	clairvoyance
la areola	"areola, areole"
(el)(la) arreglista	arranger
(el)(la) bonaerense	of/from Buenos Aires province
la terneza	tenderness
la premiada	prize winner
(el)(la) beisbolista	baseball player
el amnios	amnion
la anamorfosis	anamorphosis
la asonancia	assonance
*** 971 - 980 (/course/195613/spanish-nouns-4/97/)	
el níspero	"medlar, loquat"
el metatarso	metatarsus
la ocarina	ocarina
el palimpsesto	palimpsest
el perico	"parakeet, cocaine"
(el)(la) viandante	"passer-by, pedestrian"
el bancal	patch
el pentecostés	"Pentecost, Whitsuntide"
el pericarpio	pericarp
el neumococo	pneumococcus
*** 961 - 970 (/course/195613/spanish-nouns-4/98/)	
el bohío	"hut, shack"
el hiperboloide	hyperboloid
la inquisidora	Inquisitor
la pasantía	internship
el invertido	invert
la investigadora	"investigator, researcher"
la chinita	"jibe, taunt, side comment"
la lamprea	lamprey
la lanceta	lancet
(el)(la) medallista	medallist
*** 1001 - 1010 (/course/195613/spanish-nouns-4/99/)	
la errada	wrong
el velón	oil lamp
el eczema	eczema
la envenenadora	poisoner
(el)(la) vascuence	Basque
la asna	"ass, donkey, dolt"
la napolitana	Neapolitan
la otomana	Ottoman
la sílfide	sylph
la veterinaria	"vet, veterinarian, veterinary"
*** 991 - 1000 (/course/195613/spanish-nouns-4/100/)	
la escupidera	"spittoon, cuspidor, bedpan"
el fasto	splendor
(el)(la) semental	"stallion, stud, sire"
el estornino	starling
el subdiácono	subdeacon
el charrán	tern
la amigdalitis	tonsillitis
el golpeador	walloper
el lloriqueo	"whimpering, snivelling"
el bobinado	wound
*** 981 - 990 (/course/195613/spanish-nouns-4/101/)	
la poterna	"postern, sally port"
(el)(la) tratante	procurer
la estofa	"quilt, class"
la quinceañera	Quinceanera
el grajo	"rook, jackdaw, raven"
la naba	"rutabaga, swede"
la salvajada	"savagery, savageness"
el regaño	"scolding, chide, earful"
el amortiguador	"shock absorber, muffler, shock-absorbing"
la cajeta	"soft toffee, caramel"
*** 1011 - 1020 (/course/195613/spanish-nouns-4/102/)	
el apóstrofo	apostrophe
la yeguada	drove of horses
la descodificación	decoding
la focha	coot
el acabóse	last straw
la agenesia	agenesis
la angioplastia	angioplasty
el astigmatismo	astigmatism
la ataraxia	"ataraxy, ataraxia"
la avocación	certiorari
*** 1021 - 1030 (/course/195613/spanish-nouns-4/103/)	
la azulejería	tiling
la azurita	azurite
el cárter	"sump, chain guard"
el charlatanismo	charlatanism
la codecisión	codecision
la compresibilidad	compressibility
el conceptualismo	conceptualism
la depauperación	impoverishment
la dolorida	sore
el empujoncito	jog
*** 1031 - 1040 (/course/195613/spanish-nouns-4/104/)	
el encarte	"insert, inset, supplement"
el enciclopedismo	encyclopedic
el escandio	scandium
la esporulación	sporulation
la fritada	fry
el hexámetro	hexameter
el hotelito	detached house
la lenidad	"lenity, leniency, lenience"
el microordenador	"microcomputer, micro, computer"
la movilizadora	mobilizing
*** 1061 - 1070 (/course/195613/spanish-nouns-4/105/)	
el bao	beam
el osezno	"bear cub, cub"
el bielorruso	Belarus
la cenefa	"border, trimming, edging"
la cánula	cannula
el purpurado	cardinal
el castellanismo	Castilianism
el clínico	"clinician, doctor, GP"
la conjuntiva	conjunctiva
la continuadora	continuation
*** 1051 - 1060 (/course/195613/spanish-nouns-4/106/)	
la vacuola	vacuole
la vulcanización	vulcanization
la pescadera	fishmonger
el réprobo	reprobate
la calcomanía	transfer
la bocatoma	"water intake, inlet pipe"
los afirmados	affirmed
la locutora	announcer
el incendiario	"arsonist, incendiary"
la carnaza	bait
*** 1041 - 1050 (/course/195613/spanish-nouns-4/107/)	
el muralismo	muralism
el neptunio	neptunium
la neurofisiología	neurophysiology
el oreo	airing
el papito	daddy
el punteo	"plucking, spotting, picking"
el quiasma	chiasma
la quiromancia	"palmistry, chiromancy"
el tanteador	"scorekeeper, scorecard, scorer"
la transitividad	transitivity
*** 1071 - 1080 (/course/195613/spanish-nouns-4/108/)	
el cuadrito	cube
el curio	curium
la cortada	"cut, slice, piece"
el cibercafé	"cybercafé, Internet café"
(el)(la) documentalista	documentary
el apósito	dressing
el dieciocho	eighteen
el figurín	"exquisite, model"
la disquetera	floppy
el escarceo	foreplay
*** 1081 - 1090 (/course/195613/spanish-nouns-4/109/)	
el formulismo	formulism
la manilla	"handcuffs, cuffs, hand"
(el)(la) arpista	harpist
el mamotreto	"hefty volume, huge tome"
la vacada	herd
el yambo	"iambic, iamb"
la malquerencia	ill will
el levantador	lifter
la mandarina	"mandarin, tangerine, mandarin orange"
la mescolanza	medley
*** 1121 - 1130 (/course/195613/spanish-nouns-4/110/)	
el abolicionismo	abolitionism
la catalasa	catalase
el cocker	"cocker, cocker spaniel"
la codeína	codeine
la derechización	rightward
el desbaste	bloom
la desratización	deratting
la disfagia	dysphagia
la eritromicina	erythromycin
el golpismo	tendency to military coups
*** 1091 - 1100 (/course/195613/spanish-nouns-4/111/)	
la mononucleosis	mononucleosis
la narcosis	narcosis
el olivino	olivine
el fariseo	pharisee
la trastada	"prank, mischief, practical joke"
el castigador	punisher
la resma	ream
el cacheo	"search, searching, frisk"
el apeo	survey
la teca	teak
*** 1101 - 1110 (/course/195613/spanish-nouns-4/112/)	
(el)(la) tranquilizante	"tranquilizer, tranquillizer"
el truncamiento	truncation
el latiguillo	"tube, connecting tube, filler"
el presuntuoso	upstart
el versificador	versifier
el viático	"viaticum, travel allowance, allowance"
la milanesa	"Wiener schnitzel, escalope, breaded veal cutlet"
la ventolera	"wild idea, pinwheel, windmill toy"
la serrería	sawmill
el bumerang	boomerang
*** 1111 - 1120 (/course/195613/spanish-nouns-4/113/)	
el giroscopio	gyroscope
la serrana	"hill-dweller, mountain-dweller, mountain people"
el siclo	shekel
el tubito	tubule
la uruguaya	Uruguayan
la ascética	ascetic
el cervecero	brewer
la improbabilidad	improbability
el llorón	"crybaby, weeper"
el surcoreano	South Korean
*** 1131 - 1140 (/course/195613/spanish-nouns-4/114/)	
la hidroelectricidad	hydropower
la irascibilidad	"irascibility, testiness"
el jogging	"jogging, running"
(el)(la) lealista	loyalist
la llavecita	small key
el muón	muon
el parnaso	Parnassus
el posibilismo	possibilism
el prendimiento	apprehension
el remojo	soaking
*** 1141 - 1150 (/course/195613/spanish-nouns-4/115/)	
la ronquera	hoarseness
el sisal	sisal
el solipsismo	solipsism
el tendal	"awning, clothes line, washing line"
el tribalismo	tribalism
el trióxido	trioxide
el alzacuello	clerical collar
la camella	camel
las acciones	doings
el iluso	dreamer
*** 1151 - 1160 (/course/195613/spanish-nouns-4/116/)	
la boñiga	"cowpat, dung"
el radioaficionado	"radio enthusiast, radio ham"
el capirote	pointed hood
la conchita	"pussy, cunt"
el suscriptor	"executor, subscriber"
la recidiva	relapse
la amida	amide
la bacanal	"Bacchanalia, orgy"
el batallador	battler
el encarnado	blush
*** 1161 - 1170 (/course/195613/spanish-nouns-4/117/)	
el acantonamiento	cantonment
la cadenita	chainlet
la circunvolución	"convolution, circumvolution"
el tirabuzón	"corkscrew, ringlet, spiral"
la cotilla	"corset, stays"
la cínica	cynic
el denario	denarius
el hoyuelo	dimple
la equimosis	ecchymosis
la erisipela	erysipelas
*** 1171 - 1180 (/course/195613/spanish-nouns-4/118/)	
(el)(la) inmobiliario	estate agent
las fabáceas	Fabaceae
la platija	"fluke, plaice, flounder"
el godo	"Goth, Spaniard, loyalist"
los canalones	gutters
el chinchorro	"hammock, net, fishing boat"
el aislador	"isolator, insulator"
el arrendajo	jay
la laringitis	laryngitis
el cerillo	"match, species of gum tree, long thin candle"
*** 1181 - 1190 (/course/195613/spanish-nouns-4/119/)	
la plumilla	"nib, pen nib, fountain pen"
el recoveco	"nook, turning, hidden corner"
la odalisca	"odalisque, odalisk"
el abrelatas	"opener, bottle opener, can opener"
el desaguadero	"outlet, drain, outfall"
la granadilla	"passion fruit, passionflower"
los pecadillos	peccadillo
la fotocopiadora	photocopier
el plinto	plinth
la cataplasma	"poultice, cataplasm"
*** 1191 - 1200 (/course/195613/spanish-nouns-4/120/)	
la gacetilla	press release
la proveniencia	provenance
(el)(la) guardabosque	"ranger, forester, keeper"
el retardador	retarder
el rudimento	"rudiment, vestige"
la mesada	salary
la sinuosidad	sinuosity
el chiquito	small glass of wine
el estampado	"stamping, pattern, print"
el sulfito	sulphite
*** 1201 - 1210 (/course/195613/spanish-nouns-4/121/)	
el sinclinal	syncline
la aspiradora	"vacuum, vacuum cleaner, hoover"
el estrafalario	wack
la relojera	watchmaker
el pian	yaws
el cortador	cutter
el giróscopo	gyroscope
el interfono	intercom
la patita	duckling
el sustitutivo	substitute
*** 1211 - 1220 (/course/195613/spanish-nouns-4/122/)	
la surafricana	South African
el túbulo	tubule
la tartera	"lunch box, lunch pail"
el monárquico	"monarchist, royalist"
el sudamericano	South American
la absolutidad	absoluteness
la accidentalidad	"accident rate, number of accidents"
el albayalde	white lead
la amanita	amanita
el amorcito	sweetheart
*** 1221 - 1230 (/course/195613/spanish-nouns-4/123/)	
la anáfora	anaphora
la andalucita	andalusite
el aquietamiento	stilling
el arrancamiento	avulsion
la autoconstrucción	self-construction
el aviario	aviary
el beleño	henbane
el beriberi	beriberi
el bocabajo	facedown
el bristol	Bristol board
*** 1231 - 1240 (/course/195613/spanish-nouns-4/124/)	
el butano	butane
el calorímetro	calorimeter
la caquexia	cachexy
el consomé	"consommé, clear soup, soup"
el contoneo	swagger
(el)(la) crápula	"libertine, waster"
(el)(la) crupier	croupier
la cuscuta	dodder
el desintegrador	disintegrator
el deuteronomio	Deuteronomy
*** 1241 - 1250 (/course/195613/spanish-nouns-4/125/)	
el epiléptico	epileptic
la filípica	philippic
la frigidez	frigidity
la gimnástica	gymnastic
el gordito	pudge
la gutapercha	gutta-percha
la hidrofobia	"hydrophobia, rabies"
la huma	human
el ilion	ilium
la impavidez	"calmness, impassivity"
*** 1251 - 1260 (/course/195613/spanish-nouns-4/126/)	
la invariabilidad	invariability
la lanilla	fluff
la letalidad	lethality
la manicura	"manicure, manicurist"
el mueblaje	unfurnished
la norepinefrina	norepinephrine
el occipucio	occiput
la pasamanería	rider
la pepsina	pepsin
el pión	pion
*** 1261 - 1270 (/course/195613/spanish-nouns-4/127/)	
la primilla	Lesser
la retinopatía	retinopathy
la sinécdoque	synecdoche
la solla	plaice
el sollo	"pike, sturgeon"
el subidón	rush
la témpera	tempera
el trabajito	little job
el vicariato	vicariate
el voltímetro	voltmeter
*** 1271 - 1280 (/course/195613/spanish-nouns-4/128/)	
la retorsión	"twisting, wringing"
la bosta	"dung, droppings, manure"
el correaje	"straps, harness, leathers"
la broza	brushwood
el letón	Latvian
la arrancada	"sudden start, sudden accerlation, jerk"
el rimero	"stack, pile, heap"
el piolet	"ice axe, ice ax"
la adúltera	adulteress
el anemómetro	"anemometer, wind gauge"
*** 1281 - 1290 (/course/195613/spanish-nouns-4/129/)	
la anisotropía	anisotropy
los batoideos	batoids
la baya	"berry, bay horse, bean"
el babero	"bib, patch on the throat, smock"
la bravata	"bravado, threat, big talk"
el reventón	"burst, blowout, bust"
el cefalotórax	cephalothorax
la calcografía	chalcography
el nubarrón	"cloud, storm cloud, black cloud"
el codicilo	codicil
*** 1291 - 1300 (/course/195613/spanish-nouns-4/130/)	
el coetáneo	"contemporary, coeval"
el correlativo	correlative
la amanecida	dawn
la tumbona	deck chair
el desodorante	deodorant
la menguante	"ebb, ebbing"
el electroencefalograma	electroencephalogram
el gordo	"fat, first prize, grand prize"
el colgajo	"flap, pendant, straggler"
el matamoscas	"fly swatter, fly killer, insecticide"
*** 1301 - 1310 (/course/195613/spanish-nouns-4/131/)	
el cartapacio	"folder, zippered binder, notebook"
(el)(la) otorgante	grantor
la ralladura	"grated rind, zest"
la apretura	"keepsake, jams"
la reata	"lariat, train, string"
(el)(la) editorialista	leader-writer
el limonero	"lemon, lemon tree"
el licántropo	lycanthrope
el mallo	mall
el meato	meatus
*** 1311 - 1320 (/course/195613/spanish-nouns-4/132/)	
el morfo	morpho
el colgante	"necklace, pendant"
el descosido	open seam
la zarigüeya	"opossum, possum"
la plasta	"paste, botch-job, turd"
la penitenciaria	penitentiary
la pipeta	"pipet, pipette"
el pleonasmo	pleonasm
(el)(la) postulante	postulant
la puzolana	"pozzolana, pozzuolana"
*** 1321 - 1330 (/course/195613/spanish-nouns-4/133/)	
(el)(la) preliminar	preliminary
(el)(la) propagandista	propagandist
el publicano	publican
el envión	"push, shove"
el real	"real, penny, hapenny"
el recto	rectum
el refractor	refractor
la ricota	ricotta
la chorrera	ruffle
el sacabuche	sackbut
*** 1331 - 1340 (/course/195613/spanish-nouns-4/134/)	
el sacrificador	sacrificer
el festón	"scallop, festoon, scollop"
la chalana	scow
el seglar	"secular, layman/laywoman"
el zorrillo	skunk
el botellín	"small bottle, flask, vial"
el nevero	snowfield
la azotaina	"spanking, whipping, flogging"
el gastador	"spender, big spender"
(el)(la) okupa	squatter
*** 1341 - 1350 (/course/195613/spanish-nouns-4/135/)	
el tenderete	"stand, market stall"
los esteroles	sterols
el tirante	"strap, shoulder strap, brace"
las angarillas	stretcher
el subrogado	subrogated
el taponamiento	tamponade
el estanquero	tobacconist
el tropismo	tropism
la asiática	"Asian, Asiatic"
la italiana	Italian
*** 1351 - 1360 (/course/195613/spanish-nouns-4/136/)	
el dramón	melodrama
el memo	memorandum
la redactora	"editor, redactor"
el esnob	snob
el fratricidio	fratricide
el pesticida	pesticide
la conductibilidad	conductivity
el holgazán	"idler, laggard, bum"
la mnemotecnia	mnemonics
el neoclásico	neoclassical
*** 1361 - 1370 (/course/195613/spanish-nouns-4/137/)	
el norteamericano	"American, North American"
el afeitado	"shaving, shave"
el amerizaje	"landing, splashdown, touchdown"
el aperturismo	openness
la cajuela	"trunk, boot, luggage compartment"
la cápita	capita
el cerio	cerium
(el)(la) constitucionalista	constitutionalist
el criptógrafo	cryptographer
la encriptación	encryption
*** 1371 - 1380 (/course/195613/spanish-nouns-4/138/)	
el epidídimo	epididymis
la escopolamina	scopolamine
el ferretero	ironmonger
la intemporalidad	timelessness
la interdisciplinariedad	interdisciplinarity
el mahometismo	mohammedanism
el megabyte	megabyte
el microbiólogo	microbiologist
el montecillo	"hummock, hillock, hump"
el pigmalión	Pygmalion
*** 1381 - 1390 (/course/195613/spanish-nouns-4/139/)	
el pizarrín	slate pencil
el precalentamiento	preheating
la resucitación	"resuscitation, revival"
el tetracloruro	tetrachloride
el verdín	"fresh green, verdigris, scum"
la montañesa	"mountain, highland"
el voladizo	cantilever
la radiocomunicación	radio communication
el sicomoro	sycamore
la cantilena	"ballad, song"
*** 1391 - 1400 (/course/195613/spanish-nouns-4/140/)	
el cabezo	"hillock, small hill, reef"
el cavador	digger
el aerogenerador	wind turbine
(el)(la) agonista	agonist
la chita	"anklebone, game played with bone"
el anunciador	"annunciator, announcer, herald"
el arpegio	arpeggio
(el)(la) asambleísta	assemblyman
la mona	"bow, puff, leg armour"
la moña	"bow, puff, skinful"
*** 1401 - 1410 (/course/195613/spanish-nouns-4/141/)	
los peleles	bubblers
la acampada	"camp site, camp"
la charada	charade
la clepsidra	clepsydra
(el)(la) oficinista	"clerk, clerical"
el condensado	condensate
la huevera	"egg box, egg carton, egg cup"
el potenciador	enhancer
la escarpa	"escarpment, scarp, bluff"
el aguamanil	"ewer, basin, sink"
*** 1411 - 1420 (/course/195613/spanish-nouns-4/142/)	
la andanza	"fortune, fate"
el numerito	"full-in act, short act"
la guardilla	garret
el hoplita	hoplite
el islandés	"Icelandic, Icelander"
la indagatoria	inquiry
la chiva	"kid, nanny goat, nanny"
el besito	kiss
la bribona	"knave, rascal, villain"
el lípido	lipid
*** 1421 - 1430 (/course/195613/spanish-nouns-4/143/)	
(los)(las) mercantilistas	mercantilist
(el)(la) mudéjar	Mudéjar
los nabateos	Nabataeans
el nazareno	"Nazarene, penitent"
los nestorianos	Nestorians
el organillero	organ grinder
el portaherramientas	pad
(el)(la) copartícipe	"partner, copartner"
el picotazo	"peck, sting"
(el)(la) concurrente	"person attending, present, attendee"
*** 1431 - 1440 (/course/195613/spanish-nouns-4/144/)	
el galanteador	"philanderer, flatterer"
el arrozal	"ricefield, rice paddy, paddy"
el salteador	"robber, highwayman, bandit"
la alfombrilla	rug
la roya	"rust, blight"
(el)(la) saharaui	Saharan
la sinusoide	"sinusoid, sine curve"
la mofeta	"skunk, polecat, firedamp"
el somnífero	sleeping pill
el sumiller	sommelier
*** 1441 - 1450 (/course/195613/spanish-nouns-4/145/)	
la descarnada	stark
la termita	termite
la talasemia	thalassemia
(el)(la) tradicionalista	traditionalist
la convidada	uninvited
(el)(la) mayorista	"wholesaler, wholesale supplier, distributor"
los zelotes	Zealots
el teleobjetivo	zoom lens
el peluquín	toupee
la escocesa	"Scottish, Scots, Scotch"
*** 1451 - 1460 (/course/195613/spanish-nouns-4/146/)	
la guerrillera	"guerrilla, partisan"
el hospedero	host
la licorería	distillery
el libanés	Lebanese
la luxemburguesa	from Luxembourg
el arrinconamiento	shelving
la autopromoción	self-promotion
la callecita	alley
la cohetería	rocketry
la cortisona	cortisone
*** 1461 - 1470 (/course/195613/spanish-nouns-4/147/)	
la cuestación	"charity collection, appeal"
el deicidio	deicide
la diglosia	diglossia
el duramen	heartwood
el efod	ephod
la fisiografía	physiography
el gouache	gouache
el grafema	grapheme
la hematología	hematology
la hiperglucemia	hyperglycemia
*** 1471 - 1480 (/course/195613/spanish-nouns-4/148/)	
el irredentismo	irredentism
el isquion	ischium
el librepensamiento	freethinking
el muermo	"bore, dump, drip"
el muflón	mouflon
el ñaque	"odds and ends, junk"
el niobio	niobium
el peonaje	peonage
la propiciación	propitiation
el radioisótopo	radioisotope
*** 1481 - 1490 (/course/195613/spanish-nouns-4/149/)	
la razonadora	reasoning
el supresor	suppressor
la taxidermia	taxidermy
la tiamina	thiamine
el yeyuno	jejunum
el pucherazo	"rigging, electoral fiddle"
la trinca	"group of three, set of three, threesome"
la yacija	"rough bed, to sleep badly, grave"
los extraños	alien
el antidepresivo	antidepressant
*** 1491 - 1500 (/course/195613/spanish-nouns-4/150/)	
la changa	"arrangement, odd job, joke"
los bienes	"assets, property, goods"
la rosquilla	"bagel, ring-shaped pastry, donut"
el fanfarrón	"braggart, blusterer, bragging"
el zarzal	bush
la chiquillada	childish
el cortante	"cleaver, chopper"
el cognado	cognate
el contorneado	contoured
el miriñaque	"crinoline, pannier"
*** 1501 - 1510 (/course/195613/spanish-nouns-4/151/)	
el esqueje	"cutting, slip"
el címbalo	cymbal
los dentículos	denticles
los dinoflagelados	dinoflagellates
el disacárido	disaccharide
la destemplanza	distemper
el adarme	dribblet
el faquir	fakir
el batiente	"frame, shoreline"
el testarazo	header
*** 1511 - 1520 (/course/195613/spanish-nouns-4/152/)	
el analfabeto	"illiterate, illiterate person"
(el)(la) desleal	infidel
la intensión	intensity
la lamia	lamia
el nivelador	leveler
la excelsitud	loftiness
el lubricante	lubricant
la madraza	madrassah
el manómetro	"manometer, pressure gauge, gauge"
la fresadora	milling machine
*** 1521 - 1530 (/course/195613/spanish-nouns-4/153/)	
(el)(la) orientalista	orientalist
el alicate	"pliers, clippers"
el refinado	refining
el cazaminas	Sapper
(los)(las) sármatas	Sarmatian
la hilatura	spinning
la salpicadura	"splash, splatter, spatter"
el estreptococo	streptococcus
el tocón	"stump, stub, butt"
los jerséis	sweaters
*** 1531 - 1540 (/course/195613/spanish-nouns-4/154/)	
los alisios	trade
la truculencia	truculence
el violeta	"violet, gentian, gentian violet"
la arandela	"washer, candlestick holder, bobeche"
la atunera	tuna
el convertible	convertible
el cazón	dogfish
la eslovaca	Slovak
el resfrío	"cold, flu"
el vermú	vermouth
*** 1541 - 1550 (/course/195613/spanish-nouns-4/155/)	
el camper	camper
(el)(la) minorista	retailer
el enlazador	linker
el hotelero	hotelier
el aguarrás	turpentine
el almagre	"raddle, red ocher, reddle"
(el)(la) caddie	caddy
la chocolatada	hot chocolate party
el chucrut	sauerkraut
la cóclea	cochlea
*** 1551 - 1560 (/course/195613/spanish-nouns-4/156/)	
el cosmólogo	cosmologist
el desvelamiento	unveiling
el encefalograma	encephalogram
el estridor	stridor
la hidrosfera	hydrosphere
la hidrostática	hydrostatic
el interiorismo	interior design
la lateralidad	laterality
el lenitivo	lenitive
el maracuyá	"passion fruit, passionfruit"
*** 1561 - 1570 (/course/195613/spanish-nouns-4/157/)	
la mayólica	majolica
el muchachote	big boy
la oficiosidad	officiousness
la panela	brown sugar
el periquete	"jiffy, jiff, instant"
el pietismo	pietism
la planimetría	planimetry
el poto	"calabash, earthenware jug"
el puerperio	puerperium
el simón	simon
*** 1571 - 1580 (/course/195613/spanish-nouns-4/158/)	
el sintonizador	tuner
el tantalio	tantalum
la úvula	uvula
la vainillina	vanillin
la zootecnia	husbandry
la garrocha	"goad, spear, vaulting pole"
el viajecito	jaunt
la almenara	beacon
el dedito	"little finger, little toe"
el provincial	provincial
*** 1581 - 1590 (/course/195613/spanish-nouns-4/159/)	
el sarpullido	rash
el donjuán	"womanizer, womaniser, lady-killer"
el trasbordador	"ferry, shuttle, space shuttle"
la chicuela	a slip of a girl
el adúltero	adulterer
el suramericano	american
el róbalo	"bass, sea bass"
la fanfarronada	"bluster, bluff, fanfaronade"
el coñazo	"bore, drudgery, pain in the ass"
la brucelosis	brucellosis
*** 1591 - 1600 (/course/195613/spanish-nouns-4/160/)	
la rabona	camp follower
la cabriola	"caper, skip, prance"
(el)(la) carmelita	Carmelite
la calesita	"carousel, merry-go-round"
el capazo	carrycot
la carúncula	caruncle
la payasada	"charade, clownish trick, buffoonery"
el encubierto	cloaking
el cotillón	"cotillon, cotillion, New Year´s Eve party"
la quebradura	"crack, fissure, rupture"
*** 1601 - 1610 (/course/195613/spanish-nouns-4/161/)	
el cruasán	croissant
el deportado	deportee
la medianera	dividing
el zahorí	dowser
la doxología	doxology
el droguero	druggist
el epígono	epigone
(el)(la) falangista	Falangist
el pepinillo	"gherkin, pickle"
el halconero	"hawker, falconer"
*** 1611 - 1620 (/course/195613/spanish-nouns-4/162/)	
el endecasílabo	hendecasyllable
el historiógrafo	historiographer
la perezosa	"idler, lazybones"
el imponderable	imponderable
los desmesurados	inflated
el foque	jib
la jocosidad	"jocularity, pleasantry"
el corderillo	lambskin
el pernil	"leg, ham, haunch"
el timbrazo	loud ring
*** 1621 - 1630 (/course/195613/spanish-nouns-4/163/)	
el bandazo	"lurch, heeling, roll"
la mantisa	mantissa
el miasma	"miasma, vapour"
el nártex	narthex
la nunciatura	nunciature
el forajido	"outlaw, desperado"
(el)(la) panegirista	panegyrist
el paraboloide	paraboloid
el potenciómetro	potentiometer
el laureado	prizewinner
*** 1631 - 1640 (/course/195613/spanish-nouns-4/164/)	
(el)(la) salmista	psalmist
la purgación	purgation
el romboide	rhomboid
la salina	"saline, salina, salt mine"
el emparedado	"sandwich, butty"
el fregado	"scrub, scouring, scrubbing"
la estremecedora	shocking
el lustrabotas	"shoeshine boy, bootblack, shoeblack"
el chute	"shot, injection"
(el)(la) tizne	smut
*** 1641 - 1650 (/course/195613/spanish-nouns-4/165/)	
la subordinada	"subordinate, underling, ancillary"
el deshollinador	"sweep, chimney sweep"
(el)(la) comprobante	"voucher, receipt, proof"
los loberos	Wolfhounds
la boticaria	"apothecary, druggist"
la ginecóloga	gynecologist
el porcino	"pig, hog"
la rapaza	kid
el sarraceno	Saracen
la vespa	scooter
*** 1651 - 1660 (/course/195613/spanish-nouns-4/166/)	
el patinete	scooter
el aligeramiento	relief
el anquilosamiento	stagnation
la apacibilidad	mildness
la astronáutica	astronautics
el avalúo	"valuation, appraisal"
la biomecánica	biomechanics
la burlona	"joker, scoffer, mockingbird"
el calo	"slang, Romany"
el calostro	colostrum
*** 1661 - 1670 (/course/195613/spanish-nouns-4/167/)	
la carburación	"carburization, carburation"
el chafarote	cutlass
la chispita	sparklet
la compacidad	compactness
el cuarentón	person in their forties
la culinaria	culinary
el cuproníquel	cupro
el destajo	piecework
el diaconado	diaconate
